order	id	identity	arm	fixture	seed	rp
12	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101021-inferno-endure	breadth-t4-striker-heavy-c	inferno-endure	node-t4-desert-03	101021	46/47
13	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101009-inferno-static	breadth-t4-striker-heavy-c	inferno-static	node-t4-graveyard-03	101009	40/47
14	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101009-inferno-endure	breadth-t4-striker-heavy-c	inferno-endure	node-t4-graveyard-03	101009	46/47
15	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101021-inferno-static	breadth-t4-striker-heavy-c	inferno-static	node-t4-graveyard-03	101021	40/47
16	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101021-inferno-endure	breadth-t4-striker-heavy-c	inferno-endure	node-t4-graveyard-03	101021	46/47
17	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101009-mountain-static	breadth-t4-conduit-heavy-b	mountain-static	node-t4-desert-03	101009	40/47
18	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101009-mountain-endure	breadth-t4-conduit-heavy-b	mountain-endure	node-t4-desert-03	101009	46/47
19	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101009-inferno-static	breadth-t4-conduit-heavy-b	inferno-static	node-t4-desert-03	101009	40/47
20	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101009-inferno-endure	breadth-t4-conduit-heavy-b	inferno-endure	node-t4-desert-03	101009	46/47
21	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-mountain-static	breadth-t4-conduit-heavy-b	mountain-static	node-t4-desert-03	101021	40/47
22	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-mountain-endure	breadth-t4-conduit-heavy-b	mountain-endure	node-t4-desert-03	101021	46/47
23	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-inferno-static	breadth-t4-conduit-heavy-b	inferno-static	node-t4-desert-03	101021	40/47
24	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-inferno-endure	breadth-t4-conduit-heavy-b	inferno-endure	node-t4-desert-03	101021	46/47
25	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-mountain-static	breadth-t4-conduit-heavy-b	mountain-static	node-t4-graveyard-03	101009	40/47
26	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-mountain-endure	breadth-t4-conduit-heavy-b	mountain-endure	node-t4-graveyard-03	101009	46/47
27	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-inferno-static	breadth-t4-conduit-heavy-b	inferno-static	node-t4-graveyard-03	101009	40/47
28	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-inferno-endure	breadth-t4-conduit-heavy-b	inferno-endure	node-t4-graveyard-03	101009	46/47
29	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101021-mountain-static	breadth-t4-conduit-heavy-b	mountain-static	node-t4-graveyard-03	101021	40/47
30	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101021-mountain-endure	breadth-t4-conduit-heavy-b	mountain-endure	node-t4-graveyard-03	101021	46/47
31	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101021-inferno-static	breadth-t4-conduit-heavy-b	inferno-static	node-t4-graveyard-03	101021	40/47
32	guard-coverage-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101021-inferno-endure	breadth-t4-conduit-heavy-b	inferno-endure	node-t4-graveyard-03	101021	46/47
