order	case	block	snapshot	root	frame	fixture	seed	arm	capMs
32	op-t2-apprentice-heavy-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	apprentice	heavy	node-t2-jungle-01	101009	primary	1200000
33	op-t2-apprentice-heavy-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	apprentice	heavy	node-t2-desert-01	101009	primary	1200000
34	op-t2-slinger-light-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	slinger	light	node-t2-jungle-01	101009	primary	1200000
35	op-t2-slinger-light-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	slinger	light	node-t2-desert-01	101009	primary	1200000
36	op-t2-slinger-balanced-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	slinger	balanced	node-t2-jungle-01	101009	primary	1200000
37	op-t2-slinger-balanced-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	slinger	balanced	node-t2-desert-01	101009	primary	1200000
38	op-t2-slinger-heavy-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	slinger	heavy	node-t2-jungle-01	101009	primary	1200000
39	op-t2-slinger-heavy-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	slinger	heavy	node-t2-desert-01	101009	primary	1200000
40	op-t2-conduit-light-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	conduit	light	node-t2-jungle-01	101009	primary	1200000
41	op-t2-conduit-light-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	conduit	light	node-t2-desert-01	101009	primary	1200000
42	op-t2-conduit-balanced-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	conduit	balanced	node-t2-jungle-01	101009	primary	1200000
43	op-t2-conduit-balanced-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	conduit	balanced	node-t2-desert-01	101009	primary	1200000
44	op-t2-conduit-heavy-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	conduit	heavy	node-t2-jungle-01	101009	primary	1200000
45	op-t2-conduit-heavy-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	conduit	heavy	node-t2-desert-01	101009	primary	1200000
46	op-t2-spirit-light-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	spirit	light	node-t2-jungle-01	101009	primary	1200000
47	op-t2-spirit-light-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	spirit	light	node-t2-desert-01	101009	primary	1200000
48	op-t2-spirit-balanced-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	spirit	balanced	node-t2-jungle-01	101009	primary	1200000
49	op-t2-spirit-balanced-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	spirit	balanced	node-t2-desert-01	101009	primary	1200000
50	op-t2-spirit-heavy-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	spirit	heavy	node-t2-jungle-01	101009	primary	1200000
51	op-t2-spirit-heavy-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	spirit	heavy	node-t2-desert-01	101009	primary	1200000
52	op-t1-striker-forest-t1-developed-s101009	A	t1-developed	striker	balanced	node-t1-forest-03	101009	primary	1200000
53	op-t2-striker-light-jungle-t2-jungle-established-s101009	B	t2-jungle-established	striker	light	node-t2-jungle-01	101009	primary	1200000
54	op-t3-striker-light-swamp-t3-developed-s101009	C	t3-developed	striker	light	node-t3-swamp-03	101009	primary	1200000
55	op-t1-striker-plains-boss-s101009	D1	t1-developed	striker	balanced	node-t1-plains-dungeon	101009	primary	300000
56	op-t2-striker-light-plains-boss-s101009	D2	t2-desert-established	striker	light	node-t2-plains-dungeon	101009	primary	300000
57	op-t3-striker-light-mountain-boss-s101009	D3	t3-tundra-arrival	striker	light	node-t3-mountain-dungeon	101009	primary	300000
58	op-t1-striker-swamp-t1-developed-s101009	A	t1-developed	striker	balanced	node-t1-swamp-03	101009	primary	1200000
59	op-t2-striker-light-desert-t2-desert-established-s101009	B	t2-desert-established	striker	light	node-t2-desert-01	101009	primary	1200000
60	op-t2-striker-light-desert-t2-desert-established-s101009-cave	B-C	t2-desert-established	striker	light	node-t2-desert-01	101009	cave-charm	1200000
61	op-t3-striker-light-mountain-t3-developed-s101009	C	t3-developed	striker	light	node-t3-mountain-04	101009	primary	1200000
62	op-t1-striker-mountain-boss-s101009	D1	t1-developed	striker	balanced	node-t1-mountain-dungeon	101009	primary	300000
63	op-t2-striker-light-swamp-boss-s101009	D2	t2-desert-established	striker	light	node-t2-swamp-dungeon	101009	primary	300000
64	op-t3-striker-light-volcanic-boss-s101009	D3	t3-tundra-arrival	striker	light	node-t3-volcanic-dungeon	101009	primary	300000
65	op-t1-striker-mountain-t1-developed-s101009	A	t1-developed	striker	balanced	node-t1-mountain-04	101009	primary	1200000
66	op-t1-striker-mountain-t1-developed-s101009-flash	A-W	t1-developed	striker	balanced	node-t1-mountain-04	101009	flash-rapier	1200000
67	op-t2-striker-balanced-jungle-t2-jungle-established-s101009	B	t2-jungle-established	striker	balanced	node-t2-jungle-01	101009	primary	1200000
68	op-t3-striker-light-cave-t3-developed-s101009	C	t3-developed	striker	light	node-t3-cave-02	101009	primary	1200000
69	op-t1-squire-plains-boss-s101009	D1	t1-developed	squire	balanced	node-t1-plains-dungeon	101009	primary	300000
70	op-t2-striker-balanced-plains-boss-s101009	D2	t2-desert-established	striker	balanced	node-t2-plains-dungeon	101009	primary	300000
71	op-t3-striker-balanced-mountain-boss-s101009	D3	t3-tundra-arrival	striker	balanced	node-t3-mountain-dungeon	101009	primary	300000
72	op-t1-striker-cave-t1-developed-s101009	A	t1-developed	striker	balanced	node-t1-cave-02	101009	primary	1200000
73	op-t2-striker-balanced-desert-t2-desert-established-s101009	B	t2-desert-established	striker	balanced	node-t2-desert-01	101009	primary	1200000
74	op-t2-striker-balanced-desert-t2-desert-established-s101009-cave	B-C	t2-desert-established	striker	balanced	node-t2-desert-01	101009	cave-charm	1200000
75	op-t3-striker-light-jungle-t3-developed-s101009	C	t3-developed	striker	light	node-t3-jungle-01	101009	primary	1200000
76	op-t1-squire-mountain-boss-s101009	D1	t1-developed	squire	balanced	node-t1-mountain-dungeon	101009	primary	300000
77	op-t2-striker-balanced-swamp-boss-s101009	D2	t2-desert-established	striker	balanced	node-t2-swamp-dungeon	101009	primary	300000
78	op-t3-striker-balanced-volcanic-boss-s101009	D3	t3-tundra-arrival	striker	balanced	node-t3-volcanic-dungeon	101009	primary	300000
79	op-t1-striker-plains-t1-complete-s101009	A	t1-complete	striker	balanced	node-t1-plains-03	101009	primary	1200000
80	op-t2-striker-heavy-jungle-t2-jungle-established-s101009	B	t2-jungle-established	striker	heavy	node-t2-jungle-01	101009	primary	1200000
81	op-t3-striker-light-desert-t3-developed-s101009	C	t3-developed	striker	light	node-t3-desert-01	101009	primary	1200000
82	op-t1-apprentice-plains-boss-s101009	D1	t1-developed	apprentice	balanced	node-t1-plains-dungeon	101009	primary	300000
83	op-t2-striker-heavy-plains-boss-s101009	D2	t2-desert-established	striker	heavy	node-t2-plains-dungeon	101009	primary	300000
84	op-t3-striker-heavy-mountain-boss-s101009	D3	t3-tundra-arrival	striker	heavy	node-t3-mountain-dungeon	101009	primary	300000
85	op-t1-striker-forest-t1-complete-s101009	A	t1-complete	striker	balanced	node-t1-forest-03	101009	primary	1200000
86	op-t2-striker-heavy-desert-t2-desert-established-s101009	B	t2-desert-established	striker	heavy	node-t2-desert-01	101009	primary	1200000
87	op-t2-striker-heavy-desert-t2-desert-established-s101009-cave	B-C	t2-desert-established	striker	heavy	node-t2-desert-01	101009	cave-charm	1200000
88	op-t3-striker-light-volcanic-t3-developed-s101009	C	t3-developed	striker	light	node-t3-volcanic-01	101009	primary	1200000
89	op-t1-apprentice-mountain-boss-s101009	D1	t1-developed	apprentice	balanced	node-t1-mountain-dungeon	101009	primary	300000
90	op-t2-striker-heavy-swamp-boss-s101009	D2	t2-desert-established	striker	heavy	node-t2-swamp-dungeon	101009	primary	300000
91	op-t3-striker-heavy-volcanic-boss-s101009	D3	t3-tundra-arrival	striker	heavy	node-t3-volcanic-dungeon	101009	primary	300000
92	op-t1-striker-swamp-t1-complete-s101009	A	t1-complete	striker	balanced	node-t1-swamp-03	101009	primary	1200000
93	op-t2-squire-light-jungle-t2-jungle-established-s101009	B	t2-jungle-established	squire	light	node-t2-jungle-01	101009	primary	1200000
94	op-t3-striker-light-tundra-t3-tundra-arrival-s101009	C	t3-tundra-arrival	striker	light	node-t3-tundra-01	101009	primary	1200000
95	op-t1-slinger-plains-boss-s101009	D1	t1-developed	slinger	balanced	node-t1-plains-dungeon	101009	primary	300000
96	op-t2-squire-light-plains-boss-s101009	D2	t2-desert-established	squire	light	node-t2-plains-dungeon	101009	primary	300000
97	op-t3-squire-light-mountain-boss-s101009	D3	t3-tundra-arrival	squire	light	node-t3-mountain-dungeon	101009	primary	300000
98	op-t1-striker-mountain-t1-complete-s101009	A	t1-complete	striker	balanced	node-t1-mountain-04	101009	primary	1200000
99	op-t2-squire-light-desert-t2-desert-established-s101009	B	t2-desert-established	squire	light	node-t2-desert-01	101009	primary	1200000
100	op-t2-squire-light-desert-t2-desert-established-s101009-cave	B-C	t2-desert-established	squire	light	node-t2-desert-01	101009	cave-charm	1200000
101	op-t3-striker-balanced-swamp-t3-developed-s101009	C	t3-developed	striker	balanced	node-t3-swamp-03	101009	primary	1200000
102	op-t1-slinger-mountain-boss-s101009	D1	t1-developed	slinger	balanced	node-t1-mountain-dungeon	101009	primary	300000
103	op-t2-squire-light-swamp-boss-s101009	D2	t2-desert-established	squire	light	node-t2-swamp-dungeon	101009	primary	300000
104	op-t3-squire-light-volcanic-boss-s101009	D3	t3-tundra-arrival	squire	light	node-t3-volcanic-dungeon	101009	primary	300000
105	op-t1-striker-cave-t1-complete-s101009	A	t1-complete	striker	balanced	node-t1-cave-02	101009	primary	1200000
106	op-t2-squire-balanced-jungle-t2-jungle-established-s101009	B	t2-jungle-established	squire	balanced	node-t2-jungle-01	101009	primary	1200000
107	op-t3-striker-balanced-mountain-t3-developed-s101009	C	t3-developed	striker	balanced	node-t3-mountain-04	101009	primary	1200000
108	op-t1-conduit-plains-boss-s101009	D1	t1-developed	conduit	balanced	node-t1-plains-dungeon	101009	primary	300000
109	op-t2-squire-balanced-plains-boss-s101009	D2	t2-desert-established	squire	balanced	node-t2-plains-dungeon	101009	primary	300000
110	op-t3-squire-balanced-mountain-boss-s101009	D3	t3-tundra-arrival	squire	balanced	node-t3-mountain-dungeon	101009	primary	300000
111	op-t1-squire-forest-t1-developed-s101009	A	t1-developed	squire	balanced	node-t1-forest-03	101009	primary	1200000
112	op-t2-squire-balanced-desert-t2-desert-established-s101009	B	t2-desert-established	squire	balanced	node-t2-desert-01	101009	primary	1200000
113	op-t2-squire-balanced-desert-t2-desert-established-s101009-cave	B-C	t2-desert-established	squire	balanced	node-t2-desert-01	101009	cave-charm	1200000
114	op-t3-striker-balanced-cave-t3-developed-s101009	C	t3-developed	striker	balanced	node-t3-cave-02	101009	primary	1200000
115	op-t1-conduit-mountain-boss-s101009	D1	t1-developed	conduit	balanced	node-t1-mountain-dungeon	101009	primary	300000
116	op-t2-squire-balanced-swamp-boss-s101009	D2	t2-desert-established	squire	balanced	node-t2-swamp-dungeon	101009	primary	300000
117	op-t3-squire-balanced-volcanic-boss-s101009	D3	t3-tundra-arrival	squire	balanced	node-t3-volcanic-dungeon	101009	primary	300000
118	op-t1-squire-swamp-t1-developed-s101009	A	t1-developed	squire	balanced	node-t1-swamp-03	101009	primary	1200000
119	op-t2-squire-heavy-jungle-t2-jungle-established-s101009	B	t2-jungle-established	squire	heavy	node-t2-jungle-01	101009	primary	1200000
120	op-t3-striker-balanced-jungle-t3-developed-s101009	C	t3-developed	striker	balanced	node-t3-jungle-01	101009	primary	1200000
121	op-t1-spirit-plains-boss-s101009	D1	t1-developed	spirit	balanced	node-t1-plains-dungeon	101009	primary	300000
122	op-t2-squire-heavy-plains-boss-s101009	D2	t2-desert-established	squire	heavy	node-t2-plains-dungeon	101009	primary	300000
123	op-t3-squire-heavy-mountain-boss-s101009	D3	t3-tundra-arrival	squire	heavy	node-t3-mountain-dungeon	101009	primary	300000
124	op-t1-squire-mountain-t1-developed-s101009	A	t1-developed	squire	balanced	node-t1-mountain-04	101009	primary	1200000
125	op-t2-squire-heavy-desert-t2-desert-established-s101009	B	t2-desert-established	squire	heavy	node-t2-desert-01	101009	primary	1200000
126	op-t2-squire-heavy-desert-t2-desert-established-s101009-cave	B-C	t2-desert-established	squire	heavy	node-t2-desert-01	101009	cave-charm	1200000
127	op-t3-striker-balanced-desert-t3-developed-s101009	C	t3-developed	striker	balanced	node-t3-desert-01	101009	primary	1200000
128	op-t1-spirit-mountain-boss-s101009	D1	t1-developed	spirit	balanced	node-t1-mountain-dungeon	101009	primary	300000
129	op-t2-squire-heavy-swamp-boss-s101009	D2	t2-desert-established	squire	heavy	node-t2-swamp-dungeon	101009	primary	300000
130	op-t3-squire-heavy-volcanic-boss-s101009	D3	t3-tundra-arrival	squire	heavy	node-t3-volcanic-dungeon	101009	primary	300000
131	op-t1-squire-cave-t1-developed-s101009	A	t1-developed	squire	balanced	node-t1-cave-02	101009	primary	1200000
132	op-t2-apprentice-light-jungle-t2-jungle-established-s101009	B	t2-jungle-established	apprentice	light	node-t2-jungle-01	101009	primary	1200000
133	op-t3-striker-balanced-volcanic-t3-developed-s101009	C	t3-developed	striker	balanced	node-t3-volcanic-01	101009	primary	1200000
134	op-t2-apprentice-light-plains-boss-s101009	D2	t2-desert-established	apprentice	light	node-t2-plains-dungeon	101009	primary	300000
135	op-t3-apprentice-light-mountain-boss-s101009	D3	t3-tundra-arrival	apprentice	light	node-t3-mountain-dungeon	101009	primary	300000
136	op-t1-squire-plains-t1-complete-s101009	A	t1-complete	squire	balanced	node-t1-plains-03	101009	primary	1200000
137	op-t2-apprentice-light-desert-t2-desert-established-s101009	B	t2-desert-established	apprentice	light	node-t2-desert-01	101009	primary	1200000
138	op-t3-striker-balanced-tundra-t3-tundra-arrival-s101009	C	t3-tundra-arrival	striker	balanced	node-t3-tundra-01	101009	primary	1200000
139	op-t2-apprentice-light-swamp-boss-s101009	D2	t2-desert-established	apprentice	light	node-t2-swamp-dungeon	101009	primary	300000
140	op-t3-apprentice-light-volcanic-boss-s101009	D3	t3-tundra-arrival	apprentice	light	node-t3-volcanic-dungeon	101009	primary	300000
141	op-t1-squire-forest-t1-complete-s101009	A	t1-complete	squire	balanced	node-t1-forest-03	101009	primary	1200000
142	op-t2-apprentice-balanced-jungle-t2-jungle-established-s101009	B	t2-jungle-established	apprentice	balanced	node-t2-jungle-01	101009	primary	1200000
143	op-t3-striker-heavy-swamp-t3-developed-s101009	C	t3-developed	striker	heavy	node-t3-swamp-03	101009	primary	1200000
144	op-t2-apprentice-balanced-plains-boss-s101009	D2	t2-desert-established	apprentice	balanced	node-t2-plains-dungeon	101009	primary	300000
145	op-t3-apprentice-balanced-mountain-boss-s101009	D3	t3-tundra-arrival	apprentice	balanced	node-t3-mountain-dungeon	101009	primary	300000
146	op-t1-squire-swamp-t1-complete-s101009	A	t1-complete	squire	balanced	node-t1-swamp-03	101009	primary	1200000
147	op-t2-apprentice-balanced-desert-t2-desert-established-s101009	B	t2-desert-established	apprentice	balanced	node-t2-desert-01	101009	primary	1200000
148	op-t3-striker-heavy-mountain-t3-developed-s101009	C	t3-developed	striker	heavy	node-t3-mountain-04	101009	primary	1200000
149	op-t2-apprentice-balanced-swamp-boss-s101009	D2	t2-desert-established	apprentice	balanced	node-t2-swamp-dungeon	101009	primary	300000
150	op-t3-apprentice-balanced-volcanic-boss-s101009	D3	t3-tundra-arrival	apprentice	balanced	node-t3-volcanic-dungeon	101009	primary	300000
151	op-t1-squire-mountain-t1-complete-s101009	A	t1-complete	squire	balanced	node-t1-mountain-04	101009	primary	1200000
152	op-t2-apprentice-heavy-jungle-t2-jungle-established-s101009	B	t2-jungle-established	apprentice	heavy	node-t2-jungle-01	101009	primary	1200000
153	op-t3-striker-heavy-cave-t3-developed-s101009	C	t3-developed	striker	heavy	node-t3-cave-02	101009	primary	1200000
154	op-t2-apprentice-heavy-plains-boss-s101009	D2	t2-desert-established	apprentice	heavy	node-t2-plains-dungeon	101009	primary	300000
155	op-t3-apprentice-heavy-mountain-boss-s101009	D3	t3-tundra-arrival	apprentice	heavy	node-t3-mountain-dungeon	101009	primary	300000
156	op-t1-squire-cave-t1-complete-s101009	A	t1-complete	squire	balanced	node-t1-cave-02	101009	primary	1200000
157	op-t2-apprentice-heavy-desert-t2-desert-established-s101009	B	t2-desert-established	apprentice	heavy	node-t2-desert-01	101009	primary	1200000
158	op-t3-striker-heavy-jungle-t3-developed-s101009	C	t3-developed	striker	heavy	node-t3-jungle-01	101009	primary	1200000
159	op-t2-apprentice-heavy-swamp-boss-s101009	D2	t2-desert-established	apprentice	heavy	node-t2-swamp-dungeon	101009	primary	300000
160	op-t3-apprentice-heavy-volcanic-boss-s101009	D3	t3-tundra-arrival	apprentice	heavy	node-t3-volcanic-dungeon	101009	primary	300000
161	op-t1-apprentice-forest-t1-developed-s101009	A	t1-developed	apprentice	balanced	node-t1-forest-03	101009	primary	1200000
162	op-t2-slinger-light-jungle-t2-jungle-established-s101009	B	t2-jungle-established	slinger	light	node-t2-jungle-01	101009	primary	1200000
163	op-t3-striker-heavy-desert-t3-developed-s101009	C	t3-developed	striker	heavy	node-t3-desert-01	101009	primary	1200000
164	op-t2-slinger-light-plains-boss-s101009	D2	t2-desert-established	slinger	light	node-t2-plains-dungeon	101009	primary	300000
165	op-t3-slinger-light-mountain-boss-s101009	D3	t3-tundra-arrival	slinger	light	node-t3-mountain-dungeon	101009	primary	300000
166	op-t1-apprentice-swamp-t1-developed-s101009	A	t1-developed	apprentice	balanced	node-t1-swamp-03	101009	primary	1200000
167	op-t2-slinger-light-desert-t2-desert-established-s101009	B	t2-desert-established	slinger	light	node-t2-desert-01	101009	primary	1200000
168	op-t3-striker-heavy-volcanic-t3-developed-s101009	C	t3-developed	striker	heavy	node-t3-volcanic-01	101009	primary	1200000
169	op-t2-slinger-light-swamp-boss-s101009	D2	t2-desert-established	slinger	light	node-t2-swamp-dungeon	101009	primary	300000
170	op-t3-slinger-light-volcanic-boss-s101009	D3	t3-tundra-arrival	slinger	light	node-t3-volcanic-dungeon	101009	primary	300000
171	op-t1-apprentice-mountain-t1-developed-s101009	A	t1-developed	apprentice	balanced	node-t1-mountain-04	101009	primary	1200000
172	op-t2-slinger-balanced-jungle-t2-jungle-established-s101009	B	t2-jungle-established	slinger	balanced	node-t2-jungle-01	101009	primary	1200000
173	op-t3-striker-heavy-tundra-t3-tundra-arrival-s101009	C	t3-tundra-arrival	striker	heavy	node-t3-tundra-01	101009	primary	1200000
174	op-t2-slinger-balanced-plains-boss-s101009	D2	t2-desert-established	slinger	balanced	node-t2-plains-dungeon	101009	primary	300000
175	op-t3-slinger-balanced-mountain-boss-s101009	D3	t3-tundra-arrival	slinger	balanced	node-t3-mountain-dungeon	101009	primary	300000
176	op-t1-apprentice-cave-t1-developed-s101009	A	t1-developed	apprentice	balanced	node-t1-cave-02	101009	primary	1200000
177	op-t2-slinger-balanced-desert-t2-desert-established-s101009	B	t2-desert-established	slinger	balanced	node-t2-desert-01	101009	primary	1200000
178	op-t3-squire-light-swamp-t3-developed-s101009	C	t3-developed	squire	light	node-t3-swamp-03	101009	primary	1200000
179	op-t2-slinger-balanced-swamp-boss-s101009	D2	t2-desert-established	slinger	balanced	node-t2-swamp-dungeon	101009	primary	300000
180	op-t3-slinger-balanced-volcanic-boss-s101009	D3	t3-tundra-arrival	slinger	balanced	node-t3-volcanic-dungeon	101009	primary	300000
181	op-t1-apprentice-plains-t1-complete-s101009	A	t1-complete	apprentice	balanced	node-t1-plains-03	101009	primary	1200000
182	op-t2-slinger-heavy-jungle-t2-jungle-established-s101009	B	t2-jungle-established	slinger	heavy	node-t2-jungle-01	101009	primary	1200000
183	op-t3-squire-light-mountain-t3-developed-s101009	C	t3-developed	squire	light	node-t3-mountain-04	101009	primary	1200000
184	op-t2-slinger-heavy-plains-boss-s101009	D2	t2-desert-established	slinger	heavy	node-t2-plains-dungeon	101009	primary	300000
185	op-t3-slinger-heavy-mountain-boss-s101009	D3	t3-tundra-arrival	slinger	heavy	node-t3-mountain-dungeon	101009	primary	300000
186	op-t1-apprentice-forest-t1-complete-s101009	A	t1-complete	apprentice	balanced	node-t1-forest-03	101009	primary	1200000
187	op-t2-slinger-heavy-desert-t2-desert-established-s101009	B	t2-desert-established	slinger	heavy	node-t2-desert-01	101009	primary	1200000
188	op-t3-squire-light-cave-t3-developed-s101009	C	t3-developed	squire	light	node-t3-cave-02	101009	primary	1200000
189	op-t2-slinger-heavy-swamp-boss-s101009	D2	t2-desert-established	slinger	heavy	node-t2-swamp-dungeon	101009	primary	300000
190	op-t3-slinger-heavy-volcanic-boss-s101009	D3	t3-tundra-arrival	slinger	heavy	node-t3-volcanic-dungeon	101009	primary	300000
191	op-t1-apprentice-swamp-t1-complete-s101009	A	t1-complete	apprentice	balanced	node-t1-swamp-03	101009	primary	1200000
192	op-t2-conduit-light-jungle-t2-jungle-established-s101009	B	t2-jungle-established	conduit	light	node-t2-jungle-01	101009	primary	1200000
193	op-t3-squire-light-jungle-t3-developed-s101009	C	t3-developed	squire	light	node-t3-jungle-01	101009	primary	1200000
194	op-t2-conduit-light-plains-boss-s101009	D2	t2-desert-established	conduit	light	node-t2-plains-dungeon	101009	primary	300000
195	op-t3-conduit-light-mountain-boss-s101009	D3	t3-tundra-arrival	conduit	light	node-t3-mountain-dungeon	101009	primary	300000
196	op-t1-apprentice-mountain-t1-complete-s101009	A	t1-complete	apprentice	balanced	node-t1-mountain-04	101009	primary	1200000
197	op-t2-conduit-light-desert-t2-desert-established-s101009	B	t2-desert-established	conduit	light	node-t2-desert-01	101009	primary	1200000
198	op-t3-squire-light-desert-t3-developed-s101009	C	t3-developed	squire	light	node-t3-desert-01	101009	primary	1200000
199	op-t2-conduit-light-swamp-boss-s101009	D2	t2-desert-established	conduit	light	node-t2-swamp-dungeon	101009	primary	300000
200	op-t3-conduit-light-volcanic-boss-s101009	D3	t3-tundra-arrival	conduit	light	node-t3-volcanic-dungeon	101009	primary	300000
201	op-t1-apprentice-cave-t1-complete-s101009	A	t1-complete	apprentice	balanced	node-t1-cave-02	101009	primary	1200000
202	op-t2-conduit-balanced-jungle-t2-jungle-established-s101009	B	t2-jungle-established	conduit	balanced	node-t2-jungle-01	101009	primary	1200000
203	op-t3-squire-light-volcanic-t3-developed-s101009	C	t3-developed	squire	light	node-t3-volcanic-01	101009	primary	1200000
204	op-t2-conduit-balanced-plains-boss-s101009	D2	t2-desert-established	conduit	balanced	node-t2-plains-dungeon	101009	primary	300000
205	op-t3-conduit-balanced-mountain-boss-s101009	D3	t3-tundra-arrival	conduit	balanced	node-t3-mountain-dungeon	101009	primary	300000
206	op-t1-slinger-forest-t1-developed-s101009	A	t1-developed	slinger	balanced	node-t1-forest-03	101009	primary	1200000
207	op-t2-conduit-balanced-desert-t2-desert-established-s101009	B	t2-desert-established	conduit	balanced	node-t2-desert-01	101009	primary	1200000
208	op-t3-squire-light-tundra-t3-tundra-arrival-s101009	C	t3-tundra-arrival	squire	light	node-t3-tundra-01	101009	primary	1200000
209	op-t2-conduit-balanced-swamp-boss-s101009	D2	t2-desert-established	conduit	balanced	node-t2-swamp-dungeon	101009	primary	300000
