order	observationId	identityId	context	fixture	seed	capMs
54	t4-spirit-balanced-c-F2-s101009	breadth-t4-spirit-balanced-c	F2	node-t4-tundra-01	101009	600000
55	t4-striker-heavy-a-F2-s101009	breadth-t4-striker-heavy-a	F2	node-t4-tundra-01	101009	600000
56	t4-squire-light-b-B1-s101009	breadth-t4-squire-light-b	B1	node-t4-mountain-dungeon	101009	300000
57	t4-apprentice-balanced-b-B2-s101009	breadth-t4-apprentice-balanced-b	B2	node-t4-graveyard-dungeon	101009	300000
58	t4-slinger-heavy-b-F1-s101009	breadth-t4-slinger-heavy-b	F1	node-t4-volcanic-01	101009	600000
59	t4-conduit-light-c-F2-s101009	breadth-t4-conduit-light-c	F2	node-t4-tundra-01	101009	600000
60	t4-spirit-balanced-c-B1-s101009	breadth-t4-spirit-balanced-c	B1	node-t4-mountain-dungeon	101009	300000
61	t4-striker-heavy-a-B1-s101009	breadth-t4-striker-heavy-a	B1	node-t4-mountain-dungeon	101009	300000
62	t4-squire-light-b-B2-s101009	breadth-t4-squire-light-b	B2	node-t4-graveyard-dungeon	101009	300000
63	t4-apprentice-balanced-b-F1-s101009	breadth-t4-apprentice-balanced-b	F1	node-t4-volcanic-01	101009	600000
64	t4-slinger-heavy-b-F2-s101009	breadth-t4-slinger-heavy-b	F2	node-t4-tundra-01	101009	600000
65	t4-conduit-light-c-B1-s101009	breadth-t4-conduit-light-c	B1	node-t4-mountain-dungeon	101009	300000
66	t4-spirit-balanced-c-B2-s101009	breadth-t4-spirit-balanced-c	B2	node-t4-graveyard-dungeon	101009	300000
67	t4-striker-heavy-a-B2-s101009	breadth-t4-striker-heavy-a	B2	node-t4-graveyard-dungeon	101009	300000
68	t4-squire-light-b-F1-s101009	breadth-t4-squire-light-b	F1	node-t4-volcanic-01	101009	600000
69	t4-apprentice-balanced-b-F2-s101009	breadth-t4-apprentice-balanced-b	F2	node-t4-tundra-01	101009	600000
70	t4-slinger-heavy-b-B1-s101009	breadth-t4-slinger-heavy-b	B1	node-t4-mountain-dungeon	101009	300000
71	t4-conduit-light-c-B2-s101009	breadth-t4-conduit-light-c	B2	node-t4-graveyard-dungeon	101009	300000
72	t4-spirit-balanced-c-F1-s101009	breadth-t4-spirit-balanced-c	F1	node-t4-volcanic-01	101009	600000
73	t4-striker-light-b-F1-s101009	breadth-t4-striker-light-b	F1	node-t4-volcanic-01	101009	600000
74	t4-squire-balanced-b-F2-s101009	breadth-t4-squire-balanced-b	F2	node-t4-tundra-01	101009	600000
75	t4-apprentice-heavy-b-B1-s101009	breadth-t4-apprentice-heavy-b	B1	node-t4-mountain-dungeon	101009	300000
76	t4-slinger-light-c-B2-s101009	breadth-t4-slinger-light-c	B2	node-t4-graveyard-dungeon	101009	300000
77	t4-conduit-balanced-c-F1-s101009	breadth-t4-conduit-balanced-c	F1	node-t4-volcanic-01	101009	600000
78	t4-spirit-heavy-c-F2-s101009	breadth-t4-spirit-heavy-c	F2	node-t4-tundra-01	101009	600000
79	t4-striker-light-b-F2-s101009	breadth-t4-striker-light-b	F2	node-t4-tundra-01	101009	600000
80	t4-squire-balanced-b-B1-s101009	breadth-t4-squire-balanced-b	B1	node-t4-mountain-dungeon	101009	300000
81	t4-apprentice-heavy-b-B2-s101009	breadth-t4-apprentice-heavy-b	B2	node-t4-graveyard-dungeon	101009	300000
82	t4-slinger-light-c-F1-s101009	breadth-t4-slinger-light-c	F1	node-t4-volcanic-01	101009	600000
83	t4-conduit-balanced-c-F2-s101009	breadth-t4-conduit-balanced-c	F2	node-t4-tundra-01	101009	600000
84	t4-spirit-heavy-c-B1-s101009	breadth-t4-spirit-heavy-c	B1	node-t4-mountain-dungeon	101009	300000
85	t4-striker-light-b-B1-s101009	breadth-t4-striker-light-b	B1	node-t4-mountain-dungeon	101009	300000
86	t4-squire-balanced-b-B2-s101009	breadth-t4-squire-balanced-b	B2	node-t4-graveyard-dungeon	101009	300000
87	t4-apprentice-heavy-b-F1-s101009	breadth-t4-apprentice-heavy-b	F1	node-t4-volcanic-01	101009	600000
88	t4-slinger-light-c-F2-s101009	breadth-t4-slinger-light-c	F2	node-t4-tundra-01	101009	600000
89	t4-conduit-balanced-c-B1-s101009	breadth-t4-conduit-balanced-c	B1	node-t4-mountain-dungeon	101009	300000
90	t4-spirit-heavy-c-B2-s101009	breadth-t4-spirit-heavy-c	B2	node-t4-graveyard-dungeon	101009	300000
91	t4-striker-light-b-B2-s101009	breadth-t4-striker-light-b	B2	node-t4-graveyard-dungeon	101009	300000
92	t4-squire-balanced-b-F1-s101009	breadth-t4-squire-balanced-b	F1	node-t4-volcanic-01	101009	600000
93	t4-apprentice-heavy-b-F2-s101009	breadth-t4-apprentice-heavy-b	F2	node-t4-tundra-01	101009	600000
94	t4-slinger-light-c-B1-s101009	breadth-t4-slinger-light-c	B1	node-t4-mountain-dungeon	101009	300000
95	t4-conduit-balanced-c-B2-s101009	breadth-t4-conduit-balanced-c	B2	node-t4-graveyard-dungeon	101009	300000
96	t4-spirit-heavy-c-F1-s101009	breadth-t4-spirit-heavy-c	F1	node-t4-volcanic-01	101009	600000
97	t4-striker-balanced-b-F1-s101009	breadth-t4-striker-balanced-b	F1	node-t4-volcanic-01	101009	600000
98	t4-squire-heavy-b-F2-s101009	breadth-t4-squire-heavy-b	F2	node-t4-tundra-01	101009	600000
99	t4-apprentice-light-c-B1-s101009	breadth-t4-apprentice-light-c	B1	node-t4-mountain-dungeon	101009	300000
100	t4-slinger-balanced-c-B2-s101009	breadth-t4-slinger-balanced-c	B2	node-t4-graveyard-dungeon	101009	300000
101	t4-conduit-heavy-c-F1-s101009	breadth-t4-conduit-heavy-c	F1	node-t4-volcanic-01	101009	600000
102	t4-spirit-light-a-F2-s101009	breadth-t4-spirit-light-a	F2	node-t4-tundra-01	101009	600000
103	t4-striker-balanced-b-F2-s101009	breadth-t4-striker-balanced-b	F2	node-t4-tundra-01	101009	600000
104	t4-squire-heavy-b-B1-s101009	breadth-t4-squire-heavy-b	B1	node-t4-mountain-dungeon	101009	300000
105	t4-apprentice-light-c-B2-s101009	breadth-t4-apprentice-light-c	B2	node-t4-graveyard-dungeon	101009	300000
106	t4-slinger-balanced-c-F1-s101009	breadth-t4-slinger-balanced-c	F1	node-t4-volcanic-01	101009	600000
107	t4-conduit-heavy-c-F2-s101009	breadth-t4-conduit-heavy-c	F2	node-t4-tundra-01	101009	600000
108	t4-spirit-light-a-B1-s101009	breadth-t4-spirit-light-a	B1	node-t4-mountain-dungeon	101009	300000
109	t4-striker-balanced-b-B1-s101009	breadth-t4-striker-balanced-b	B1	node-t4-mountain-dungeon	101009	300000
110	t4-squire-heavy-b-B2-s101009	breadth-t4-squire-heavy-b	B2	node-t4-graveyard-dungeon	101009	300000
111	t4-apprentice-light-c-F1-s101009	breadth-t4-apprentice-light-c	F1	node-t4-volcanic-01	101009	600000
112	t4-slinger-balanced-c-F2-s101009	breadth-t4-slinger-balanced-c	F2	node-t4-tundra-01	101009	600000
113	t4-conduit-heavy-c-B1-s101009	breadth-t4-conduit-heavy-c	B1	node-t4-mountain-dungeon	101009	300000
114	t4-spirit-light-a-B2-s101009	breadth-t4-spirit-light-a	B2	node-t4-graveyard-dungeon	101009	300000
115	t4-striker-balanced-b-B2-s101009	breadth-t4-striker-balanced-b	B2	node-t4-graveyard-dungeon	101009	300000
116	t4-squire-heavy-b-F1-s101009	breadth-t4-squire-heavy-b	F1	node-t4-volcanic-01	101009	600000
117	t4-apprentice-light-c-F2-s101009	breadth-t4-apprentice-light-c	F2	node-t4-tundra-01	101009	600000
118	t4-slinger-balanced-c-B1-s101009	breadth-t4-slinger-balanced-c	B1	node-t4-mountain-dungeon	101009	300000
119	t4-conduit-heavy-c-B2-s101009	breadth-t4-conduit-heavy-c	B2	node-t4-graveyard-dungeon	101009	300000
120	t4-spirit-light-a-F1-s101009	breadth-t4-spirit-light-a	F1	node-t4-volcanic-01	101009	600000
121	t4-striker-heavy-b-F1-s101009	breadth-t4-striker-heavy-b	F1	node-t4-volcanic-01	101009	600000
122	t4-squire-light-c-F2-s101009	breadth-t4-squire-light-c	F2	node-t4-tundra-01	101009	600000
123	t4-apprentice-balanced-c-B1-s101009	breadth-t4-apprentice-balanced-c	B1	node-t4-mountain-dungeon	101009	300000
124	t4-slinger-heavy-c-B2-s101009	breadth-t4-slinger-heavy-c	B2	node-t4-graveyard-dungeon	101009	300000
125	t4-conduit-light-a-F1-s101009	breadth-t4-conduit-light-a	F1	node-t4-volcanic-01	101009	600000
126	t4-spirit-balanced-a-F2-s101009	breadth-t4-spirit-balanced-a	F2	node-t4-tundra-01	101009	600000
127	t4-striker-heavy-b-F2-s101009	breadth-t4-striker-heavy-b	F2	node-t4-tundra-01	101009	600000
128	t4-squire-light-c-B1-s101009	breadth-t4-squire-light-c	B1	node-t4-mountain-dungeon	101009	300000
129	t4-apprentice-balanced-c-B2-s101009	breadth-t4-apprentice-balanced-c	B2	node-t4-graveyard-dungeon	101009	300000
130	t4-slinger-heavy-c-F1-s101009	breadth-t4-slinger-heavy-c	F1	node-t4-volcanic-01	101009	600000
131	t4-conduit-light-a-F2-s101009	breadth-t4-conduit-light-a	F2	node-t4-tundra-01	101009	600000
132	t4-spirit-balanced-a-B1-s101009	breadth-t4-spirit-balanced-a	B1	node-t4-mountain-dungeon	101009	300000
133	t4-striker-heavy-b-B1-s101009	breadth-t4-striker-heavy-b	B1	node-t4-mountain-dungeon	101009	300000
134	t4-squire-light-c-B2-s101009	breadth-t4-squire-light-c	B2	node-t4-graveyard-dungeon	101009	300000
135	t4-apprentice-balanced-c-F1-s101009	breadth-t4-apprentice-balanced-c	F1	node-t4-volcanic-01	101009	600000
136	t4-slinger-heavy-c-F2-s101009	breadth-t4-slinger-heavy-c	F2	node-t4-tundra-01	101009	600000
137	t4-conduit-light-a-B1-s101009	breadth-t4-conduit-light-a	B1	node-t4-mountain-dungeon	101009	300000
138	t4-spirit-balanced-a-B2-s101009	breadth-t4-spirit-balanced-a	B2	node-t4-graveyard-dungeon	101009	300000
139	t4-striker-heavy-b-B2-s101009	breadth-t4-striker-heavy-b	B2	node-t4-graveyard-dungeon	101009	300000
140	t4-squire-light-c-F1-s101009	breadth-t4-squire-light-c	F1	node-t4-volcanic-01	101009	600000
141	t4-apprentice-balanced-c-F2-s101009	breadth-t4-apprentice-balanced-c	F2	node-t4-tundra-01	101009	600000
142	t4-slinger-heavy-c-B1-s101009	breadth-t4-slinger-heavy-c	B1	node-t4-mountain-dungeon	101009	300000
143	t4-conduit-light-a-B2-s101009	breadth-t4-conduit-light-a	B2	node-t4-graveyard-dungeon	101009	300000
144	t4-spirit-balanced-a-F1-s101009	breadth-t4-spirit-balanced-a	F1	node-t4-volcanic-01	101009	600000
145	t4-striker-light-c-F1-s101009	breadth-t4-striker-light-c	F1	node-t4-volcanic-01	101009	600000
146	t4-squire-balanced-c-F2-s101009	breadth-t4-squire-balanced-c	F2	node-t4-tundra-01	101009	600000
147	t4-apprentice-heavy-c-B1-s101009	breadth-t4-apprentice-heavy-c	B1	node-t4-mountain-dungeon	101009	300000
148	t4-slinger-light-a-B2-s101009	breadth-t4-slinger-light-a	B2	node-t4-graveyard-dungeon	101009	300000
149	t4-conduit-balanced-a-F1-s101009	breadth-t4-conduit-balanced-a	F1	node-t4-volcanic-01	101009	600000
150	t4-spirit-heavy-a-F2-s101009	breadth-t4-spirit-heavy-a	F2	node-t4-tundra-01	101009	600000
151	t4-striker-light-c-F2-s101009	breadth-t4-striker-light-c	F2	node-t4-tundra-01	101009	600000
152	t4-squire-balanced-c-B1-s101009	breadth-t4-squire-balanced-c	B1	node-t4-mountain-dungeon	101009	300000
153	t4-apprentice-heavy-c-B2-s101009	breadth-t4-apprentice-heavy-c	B2	node-t4-graveyard-dungeon	101009	300000
154	t4-slinger-light-a-F1-s101009	breadth-t4-slinger-light-a	F1	node-t4-volcanic-01	101009	600000
155	t4-conduit-balanced-a-F2-s101009	breadth-t4-conduit-balanced-a	F2	node-t4-tundra-01	101009	600000
156	t4-spirit-heavy-a-B1-s101009	breadth-t4-spirit-heavy-a	B1	node-t4-mountain-dungeon	101009	300000
157	t4-striker-light-c-B1-s101009	breadth-t4-striker-light-c	B1	node-t4-mountain-dungeon	101009	300000
158	t4-squire-balanced-c-B2-s101009	breadth-t4-squire-balanced-c	B2	node-t4-graveyard-dungeon	101009	300000
159	t4-apprentice-heavy-c-F1-s101009	breadth-t4-apprentice-heavy-c	F1	node-t4-volcanic-01	101009	600000
160	t4-slinger-light-a-F2-s101009	breadth-t4-slinger-light-a	F2	node-t4-tundra-01	101009	600000
161	t4-conduit-balanced-a-B1-s101009	breadth-t4-conduit-balanced-a	B1	node-t4-mountain-dungeon	101009	300000
162	t4-spirit-heavy-a-B2-s101009	breadth-t4-spirit-heavy-a	B2	node-t4-graveyard-dungeon	101009	300000
163	t4-striker-light-c-B2-s101009	breadth-t4-striker-light-c	B2	node-t4-graveyard-dungeon	101009	300000
164	t4-squire-balanced-c-F1-s101009	breadth-t4-squire-balanced-c	F1	node-t4-volcanic-01	101009	600000
165	t4-apprentice-heavy-c-F2-s101009	breadth-t4-apprentice-heavy-c	F2	node-t4-tundra-01	101009	600000
166	t4-slinger-light-a-B1-s101009	breadth-t4-slinger-light-a	B1	node-t4-mountain-dungeon	101009	300000
167	t4-conduit-balanced-a-B2-s101009	breadth-t4-conduit-balanced-a	B2	node-t4-graveyard-dungeon	101009	300000
168	t4-spirit-heavy-a-F1-s101009	breadth-t4-spirit-heavy-a	F1	node-t4-volcanic-01	101009	600000
169	t4-striker-balanced-c-F1-s101009	breadth-t4-striker-balanced-c	F1	node-t4-volcanic-01	101009	600000
170	t4-squire-heavy-c-F2-s101009	breadth-t4-squire-heavy-c	F2	node-t4-tundra-01	101009	600000
171	t4-apprentice-light-a-B1-s101009	breadth-t4-apprentice-light-a	B1	node-t4-mountain-dungeon	101009	300000
172	t4-slinger-balanced-a-B2-s101009	breadth-t4-slinger-balanced-a	B2	node-t4-graveyard-dungeon	101009	300000
173	t4-conduit-heavy-a-F1-s101009	breadth-t4-conduit-heavy-a	F1	node-t4-volcanic-01	101009	600000
174	t4-spirit-light-b-F2-s101009	breadth-t4-spirit-light-b	F2	node-t4-tundra-01	101009	600000
175	t4-striker-balanced-c-F2-s101009	breadth-t4-striker-balanced-c	F2	node-t4-tundra-01	101009	600000
176	t4-squire-heavy-c-B1-s101009	breadth-t4-squire-heavy-c	B1	node-t4-mountain-dungeon	101009	300000
177	t4-apprentice-light-a-B2-s101009	breadth-t4-apprentice-light-a	B2	node-t4-graveyard-dungeon	101009	300000
178	t4-slinger-balanced-a-F1-s101009	breadth-t4-slinger-balanced-a	F1	node-t4-volcanic-01	101009	600000
179	t4-conduit-heavy-a-F2-s101009	breadth-t4-conduit-heavy-a	F2	node-t4-tundra-01	101009	600000
180	t4-spirit-light-b-B1-s101009	breadth-t4-spirit-light-b	B1	node-t4-mountain-dungeon	101009	300000
181	t4-striker-balanced-c-B1-s101009	breadth-t4-striker-balanced-c	B1	node-t4-mountain-dungeon	101009	300000
182	t4-squire-heavy-c-B2-s101009	breadth-t4-squire-heavy-c	B2	node-t4-graveyard-dungeon	101009	300000
183	t4-apprentice-light-a-F1-s101009	breadth-t4-apprentice-light-a	F1	node-t4-volcanic-01	101009	600000
184	t4-slinger-balanced-a-F2-s101009	breadth-t4-slinger-balanced-a	F2	node-t4-tundra-01	101009	600000
185	t4-conduit-heavy-a-B1-s101009	breadth-t4-conduit-heavy-a	B1	node-t4-mountain-dungeon	101009	300000
186	t4-spirit-light-b-B2-s101009	breadth-t4-spirit-light-b	B2	node-t4-graveyard-dungeon	101009	300000
187	t4-striker-balanced-c-B2-s101009	breadth-t4-striker-balanced-c	B2	node-t4-graveyard-dungeon	101009	300000
188	t4-squire-heavy-c-F1-s101009	breadth-t4-squire-heavy-c	F1	node-t4-volcanic-01	101009	600000
189	t4-apprentice-light-a-F2-s101009	breadth-t4-apprentice-light-a	F2	node-t4-tundra-01	101009	600000
190	t4-slinger-balanced-a-B1-s101009	breadth-t4-slinger-balanced-a	B1	node-t4-mountain-dungeon	101009	300000
191	t4-conduit-heavy-a-B2-s101009	breadth-t4-conduit-heavy-a	B2	node-t4-graveyard-dungeon	101009	300000
192	t4-spirit-light-b-F1-s101009	breadth-t4-spirit-light-b	F1	node-t4-volcanic-01	101009	600000
193	t4-striker-heavy-c-F1-s101009	breadth-t4-striker-heavy-c	F1	node-t4-volcanic-01	101009	600000
194	t4-squire-light-a-F2-s101009	breadth-t4-squire-light-a	F2	node-t4-tundra-01	101009	600000
195	t4-apprentice-balanced-a-B1-s101009	breadth-t4-apprentice-balanced-a	B1	node-t4-mountain-dungeon	101009	300000
196	t4-slinger-heavy-a-B2-s101009	breadth-t4-slinger-heavy-a	B2	node-t4-graveyard-dungeon	101009	300000
197	t4-conduit-light-b-F1-s101009	breadth-t4-conduit-light-b	F1	node-t4-volcanic-01	101009	600000
198	t4-spirit-balanced-b-F2-s101009	breadth-t4-spirit-balanced-b	F2	node-t4-tundra-01	101009	600000
199	t4-striker-heavy-c-F2-s101009	breadth-t4-striker-heavy-c	F2	node-t4-tundra-01	101009	600000
200	t4-squire-light-a-B1-s101009	breadth-t4-squire-light-a	B1	node-t4-mountain-dungeon	101009	300000
201	t4-apprentice-balanced-a-B2-s101009	breadth-t4-apprentice-balanced-a	B2	node-t4-graveyard-dungeon	101009	300000
202	t4-slinger-heavy-a-F1-s101009	breadth-t4-slinger-heavy-a	F1	node-t4-volcanic-01	101009	600000
203	t4-conduit-light-b-F2-s101009	breadth-t4-conduit-light-b	F2	node-t4-tundra-01	101009	600000
204	t4-spirit-balanced-b-B1-s101009	breadth-t4-spirit-balanced-b	B1	node-t4-mountain-dungeon	101009	300000
205	t4-striker-heavy-c-B1-s101009	breadth-t4-striker-heavy-c	B1	node-t4-mountain-dungeon	101009	300000
206	t4-squire-light-a-B2-s101009	breadth-t4-squire-light-a	B2	node-t4-graveyard-dungeon	101009	300000
207	t4-apprentice-balanced-a-F1-s101009	breadth-t4-apprentice-balanced-a	F1	node-t4-volcanic-01	101009	600000
208	t4-slinger-heavy-a-F2-s101009	breadth-t4-slinger-heavy-a	F2	node-t4-tundra-01	101009	600000
209	t4-conduit-light-b-B1-s101009	breadth-t4-conduit-light-b	B1	node-t4-mountain-dungeon	101009	300000
210	t4-spirit-balanced-b-B2-s101009	breadth-t4-spirit-balanced-b	B2	node-t4-graveyard-dungeon	101009	300000
211	t4-striker-heavy-c-B2-s101009	breadth-t4-striker-heavy-c	B2	node-t4-graveyard-dungeon	101009	300000
212	t4-squire-light-a-F1-s101009	breadth-t4-squire-light-a	F1	node-t4-volcanic-01	101009	600000
213	t4-apprentice-balanced-a-F2-s101009	breadth-t4-apprentice-balanced-a	F2	node-t4-tundra-01	101009	600000
214	t4-slinger-heavy-a-B1-s101009	breadth-t4-slinger-heavy-a	B1	node-t4-mountain-dungeon	101009	300000
215	t4-conduit-light-b-B2-s101009	breadth-t4-conduit-light-b	B2	node-t4-graveyard-dungeon	101009	300000
216	t4-spirit-balanced-b-F1-s101009	breadth-t4-spirit-balanced-b	F1	node-t4-volcanic-01	101009	600000
217	t4-striker-light-a-F1-s101033	breadth-t4-striker-light-a	F1	node-t4-volcanic-01	101033	600000
218	t4-squire-balanced-a-F2-s101033	breadth-t4-squire-balanced-a	F2	node-t4-tundra-01	101033	600000
219	t4-apprentice-heavy-a-B1-s101033	breadth-t4-apprentice-heavy-a	B1	node-t4-mountain-dungeon	101033	300000
220	t4-slinger-light-b-B2-s101033	breadth-t4-slinger-light-b	B2	node-t4-graveyard-dungeon	101033	300000
221	t4-conduit-balanced-b-F1-s101033	breadth-t4-conduit-balanced-b	F1	node-t4-volcanic-01	101033	600000
222	t4-spirit-heavy-b-F2-s101033	breadth-t4-spirit-heavy-b	F2	node-t4-tundra-01	101033	600000
223	t4-striker-light-a-F2-s101033	breadth-t4-striker-light-a	F2	node-t4-tundra-01	101033	600000
224	t4-squire-balanced-a-B1-s101033	breadth-t4-squire-balanced-a	B1	node-t4-mountain-dungeon	101033	300000
225	t4-apprentice-heavy-a-B2-s101033	breadth-t4-apprentice-heavy-a	B2	node-t4-graveyard-dungeon	101033	300000
226	t4-slinger-light-b-F1-s101033	breadth-t4-slinger-light-b	F1	node-t4-volcanic-01	101033	600000
227	t4-conduit-balanced-b-F2-s101033	breadth-t4-conduit-balanced-b	F2	node-t4-tundra-01	101033	600000
228	t4-spirit-heavy-b-B1-s101033	breadth-t4-spirit-heavy-b	B1	node-t4-mountain-dungeon	101033	300000
229	t4-striker-light-a-B1-s101033	breadth-t4-striker-light-a	B1	node-t4-mountain-dungeon	101033	300000
230	t4-squire-balanced-a-B2-s101033	breadth-t4-squire-balanced-a	B2	node-t4-graveyard-dungeon	101033	300000
231	t4-apprentice-heavy-a-F1-s101033	breadth-t4-apprentice-heavy-a	F1	node-t4-volcanic-01	101033	600000
232	t4-slinger-light-b-F2-s101033	breadth-t4-slinger-light-b	F2	node-t4-tundra-01	101033	600000
233	t4-conduit-balanced-b-B1-s101033	breadth-t4-conduit-balanced-b	B1	node-t4-mountain-dungeon	101033	300000
234	t4-spirit-heavy-b-B2-s101033	breadth-t4-spirit-heavy-b	B2	node-t4-graveyard-dungeon	101033	300000
235	t4-striker-light-a-B2-s101033	breadth-t4-striker-light-a	B2	node-t4-graveyard-dungeon	101033	300000
