order	block	identity	path	range	fixture	seed	arm	used_rp	free_rp	observation_id
12	A	breadth-t4-conduit-light-a	Inquisitor	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-light-a-node-t4-graveyard-03-s101009-mountain
13	A	breadth-t4-slinger-light-a	Duelist	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-light-a-node-t4-graveyard-03-s101009-mountain
14	A	breadth-t4-spirit-light-a	Stormdancer	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-light-a-node-t4-graveyard-03-s101009-mountain
15	A	breadth-t4-striker-light-b	Scrapper	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-light-b-node-t4-graveyard-03-s101009-mountain
16	A	breadth-t4-squire-light-b	Transcendant	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-light-b-node-t4-graveyard-03-s101009-mountain
17	A	breadth-t4-apprentice-light-b	Cultist	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-light-b-node-t4-graveyard-03-s101009-mountain
18	A	breadth-t4-conduit-light-b	Kilnmaster	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-light-b-node-t4-graveyard-03-s101009-mountain
19	A	breadth-t4-slinger-light-b	Desperado	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-light-b-node-t4-graveyard-03-s101009-mountain
20	A	breadth-t4-spirit-light-b	Surge	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-light-b-node-t4-graveyard-03-s101009-mountain
21	A	breadth-t4-striker-light-c	Swiftblade	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-light-c-node-t4-graveyard-03-s101009-mountain
22	A	breadth-t4-squire-light-c	Sunderer	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-light-c-node-t4-graveyard-03-s101009-mountain
23	A	breadth-t4-apprentice-light-c	Zealot	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-light-c-node-t4-graveyard-03-s101009-mountain
24	A	breadth-t4-conduit-light-c	Iconoclast	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-light-c-node-t4-graveyard-03-s101009-mountain
25	A	breadth-t4-slinger-light-c	Sniper	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-light-c-node-t4-graveyard-03-s101009-mountain
26	A	breadth-t4-spirit-light-c	Channeler	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-light-c-node-t4-graveyard-03-s101009-mountain
27	A	breadth-t3-striker-balanced	Skirmisher	close	node-t3-volcanic-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-striker-balanced-node-t3-volcanic-03-s101009-volcanic
28	B	breadth-t3-striker-balanced	Skirmisher	close	node-t3-volcanic-03	101009	mountain-static	33	5	endurance-01-breadth-t3-striker-balanced-node-t3-volcanic-03-s101009-mountain
29	A	breadth-t3-squire-balanced	Knight	close	node-t3-volcanic-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-squire-balanced-node-t3-volcanic-03-s101009-volcanic
30	B	breadth-t3-squire-balanced	Knight	close	node-t3-volcanic-03	101009	mountain-static	33	5	endurance-01-breadth-t3-squire-balanced-node-t3-volcanic-03-s101009-mountain
31	A	breadth-t3-apprentice-balanced	Ember mage	mid	node-t3-volcanic-03	101009	volcanic-static	36	2	endurance-01-breadth-t3-apprentice-balanced-node-t3-volcanic-03-s101009-volcanic
32	B	breadth-t3-apprentice-balanced	Ember mage	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-apprentice-balanced-node-t3-volcanic-03-s101009-mountain
33	A	breadth-t3-conduit-balanced	Consort	mid	node-t3-volcanic-03	101009	mountain-static	33	5	endurance-01-breadth-t3-conduit-balanced-node-t3-volcanic-03-s101009-mountain
34	A	breadth-t3-slinger-balanced	Marksman	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-slinger-balanced-node-t3-volcanic-03-s101009-mountain
35	A	breadth-t3-spirit-balanced	Wraith	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-spirit-balanced-node-t3-volcanic-03-s101009-mountain
36	A	breadth-t4-striker-balanced-a	Maestro	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-balanced-a-node-t4-graveyard-03-s101009-mountain
37	A	breadth-t4-squire-balanced-a	Reverb	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-balanced-a-node-t4-graveyard-03-s101009-mountain
38	A	breadth-t4-apprentice-balanced-a	Pyromancer	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-balanced-a-node-t4-graveyard-03-s101009-mountain
39	A	breadth-t4-conduit-balanced-a	Marshal	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-balanced-a-node-t4-graveyard-03-s101009-mountain
40	A	breadth-t4-slinger-balanced-a	Bounty hunter	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-balanced-a-node-t4-graveyard-03-s101009-mountain
41	A	breadth-t4-spirit-balanced-a	Equinox	mid	node-t4-graveyard-03	101009	volcanic-static	43	4	endurance-01-breadth-t4-spirit-balanced-a-node-t4-graveyard-03-s101009-volcanic
42	B	breadth-t4-spirit-balanced-a	Equinox	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-a-node-t4-graveyard-03-s101009-mountain
43	A	breadth-t4-striker-balanced-b	Wavecrest	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-balanced-b-node-t4-graveyard-03-s101009-mountain
44	A	breadth-t4-squire-balanced-b	Dynamo	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-balanced-b-node-t4-graveyard-03-s101009-mountain
45	A	breadth-t4-apprentice-balanced-b	Firebrand	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-balanced-b-node-t4-graveyard-03-s101009-mountain
46	A	breadth-t4-conduit-balanced-b	Chorister	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-balanced-b-node-t4-graveyard-03-s101009-mountain
47	A	breadth-t4-slinger-balanced-b	Blunderbuss	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-slinger-balanced-b-node-t4-graveyard-03-s101009-mountain
48	A	breadth-t4-spirit-balanced-b	Stormbringer	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-b-node-t4-graveyard-03-s101009-mountain
49	A	breadth-t4-striker-balanced-c	Justicar	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-balanced-c-node-t4-graveyard-03-s101009-mountain
50	A	breadth-t4-squire-balanced-c	Stalwart	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-balanced-c-node-t4-graveyard-03-s101009-mountain
51	A	breadth-t4-apprentice-balanced-c	Cinder Lord	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-balanced-c-node-t4-graveyard-03-s101009-mountain
52	A	breadth-t4-conduit-balanced-c	Ritualist	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-balanced-c-node-t4-graveyard-03-s101009-mountain
53	A	breadth-t4-slinger-balanced-c	Dualslinger	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-balanced-c-node-t4-graveyard-03-s101009-mountain
54	A	breadth-t4-spirit-balanced-c	Aetherist	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-c-node-t4-graveyard-03-s101009-mountain
55	A	breadth-t3-striker-heavy	Breaker	close	node-t3-volcanic-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-striker-heavy-node-t3-volcanic-03-s101009-volcanic
56	B	breadth-t3-striker-heavy	Breaker	close	node-t3-volcanic-03	101009	mountain-static	33	5	endurance-01-breadth-t3-striker-heavy-node-t3-volcanic-03-s101009-mountain
57	A	breadth-t3-squire-heavy	Bulwark	close	node-t3-volcanic-03	101009	mountain-static	33	5	endurance-01-breadth-t3-squire-heavy-node-t3-volcanic-03-s101009-mountain
58	A	breadth-t3-apprentice-heavy	Rime-Bound	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-apprentice-heavy-node-t3-volcanic-03-s101009-mountain
59	A	breadth-t3-conduit-heavy	Effigy	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-conduit-heavy-node-t3-volcanic-03-s101009-mountain
60	A	breadth-t3-slinger-heavy	Artillerist	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-slinger-heavy-node-t3-volcanic-03-s101009-mountain
61	A	breadth-t3-spirit-heavy	Phantasm	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-spirit-heavy-node-t3-volcanic-03-s101009-mountain
62	A	breadth-t4-striker-heavy-a	Berserker	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101009-mountain
63	A	breadth-t4-squire-heavy-a	Avenger	close	node-t4-graveyard-03	101009	volcanic-static	40	7	endurance-01-breadth-t4-squire-heavy-a-node-t4-graveyard-03-s101009-volcanic
64	B	breadth-t4-squire-heavy-a	Avenger	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-heavy-a-node-t4-graveyard-03-s101009-mountain
65	A	breadth-t4-apprentice-heavy-a	Icebreaker	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-heavy-a-node-t4-graveyard-03-s101009-mountain
66	A	breadth-t4-conduit-heavy-a	Covenanter	mid	node-t4-graveyard-03	101009	volcanic-static	36	11	endurance-01-breadth-t4-conduit-heavy-a-node-t4-graveyard-03-s101009-volcanic
67	B	breadth-t4-conduit-heavy-a	Covenanter	mid	node-t4-graveyard-03	101009	mountain-static	36	11	endurance-01-breadth-t4-conduit-heavy-a-node-t4-graveyard-03-s101009-mountain
68	A	breadth-t4-slinger-heavy-a	Melter	mid	node-t4-graveyard-03	101009	volcanic-static	40	7	endurance-01-breadth-t4-slinger-heavy-a-node-t4-graveyard-03-s101009-volcanic
69	B	breadth-t4-slinger-heavy-a	Melter	mid	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-slinger-heavy-a-node-t4-graveyard-03-s101009-mountain
70	A	breadth-t4-spirit-heavy-a	Voidwalker	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-heavy-a-node-t4-graveyard-03-s101009-mountain
71	A	breadth-t4-striker-heavy-b	Hemomancer	close	node-t4-graveyard-03	101009	volcanic-static	40	7	endurance-01-breadth-t4-striker-heavy-b-node-t4-graveyard-03-s101009-volcanic
72	B	breadth-t4-striker-heavy-b	Hemomancer	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-heavy-b-node-t4-graveyard-03-s101009-mountain
73	A	breadth-t4-squire-heavy-b	Destroyer	close	node-t4-graveyard-03	101009	volcanic-static	40	7	endurance-01-breadth-t4-squire-heavy-b-node-t4-graveyard-03-s101009-volcanic
74	B	breadth-t4-squire-heavy-b	Destroyer	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-heavy-b-node-t4-graveyard-03-s101009-mountain
75	A	breadth-t4-apprentice-heavy-b	Winter Warden	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-heavy-b-node-t4-graveyard-03-s101009-mountain
76	A	breadth-t4-conduit-heavy-b	Champion	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-mountain
77	A	breadth-t4-slinger-heavy-b	Warmonger	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-heavy-b-node-t4-graveyard-03-s101009-mountain
78	A	breadth-t4-spirit-heavy-b	Invoker	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-heavy-b-node-t4-graveyard-03-s101009-mountain
79	A	breadth-t4-striker-heavy-c	Juggernaut	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101009-mountain
80	A	breadth-t4-squire-heavy-c	Devout Priest	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-heavy-c-node-t4-graveyard-03-s101009-mountain
81	A	breadth-t4-apprentice-heavy-c	Wind Spirit	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-heavy-c-node-t4-graveyard-03-s101009-mountain
82	A	breadth-t4-conduit-heavy-c	Idolwright	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-heavy-c-node-t4-graveyard-03-s101009-mountain
83	A	breadth-t4-slinger-heavy-c	Cannoneer	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-heavy-c-node-t4-graveyard-03-s101009-mountain
84	A	breadth-t4-spirit-heavy-c	Tempest	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-heavy-c-node-t4-graveyard-03-s101009-mountain
85	A	breadth-t3-striker-light	Flurry	close	node-t3-tundra-03	101009	mountain-static	33	5	endurance-01-breadth-t3-striker-light-node-t3-tundra-03-s101009-mountain
86	A	breadth-t3-squire-light	Warrior	close	node-t3-tundra-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-squire-light-node-t3-tundra-03-s101009-volcanic
87	B	breadth-t3-squire-light	Warrior	close	node-t3-tundra-03	101009	mountain-static	33	5	endurance-01-breadth-t3-squire-light-node-t3-tundra-03-s101009-mountain
88	A	breadth-t3-apprentice-light	Venom vessel	mid	node-t3-tundra-03	101009	volcanic-static	36	2	endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101009-volcanic
89	B	breadth-t3-apprentice-light	Venom vessel	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101009-mountain
90	A	breadth-t3-conduit-light	Splinter	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-conduit-light-node-t3-tundra-03-s101009-mountain
91	A	breadth-t3-slinger-light	Scout	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-slinger-light-node-t3-tundra-03-s101009-mountain
92	A	breadth-t3-spirit-light	Spark	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-spirit-light-node-t3-tundra-03-s101009-mountain
93	A	breadth-t4-striker-light-a	Shockblade	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-light-a-node-t4-desert-03-s101009-mountain
94	A	breadth-t4-squire-light-a	Assassin	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-light-a-node-t4-desert-03-s101009-mountain
95	A	breadth-t4-apprentice-light-a	Venomslinger	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-light-a-node-t4-desert-03-s101009-mountain
96	A	breadth-t4-conduit-light-a	Inquisitor	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-light-a-node-t4-desert-03-s101009-mountain
97	A	breadth-t4-slinger-light-a	Duelist	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-light-a-node-t4-desert-03-s101009-mountain
98	A	breadth-t4-spirit-light-a	Stormdancer	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-light-a-node-t4-desert-03-s101009-mountain
99	A	breadth-t4-striker-light-b	Scrapper	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-light-b-node-t4-desert-03-s101009-mountain
100	A	breadth-t4-squire-light-b	Transcendant	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-light-b-node-t4-desert-03-s101009-mountain
101	A	breadth-t4-apprentice-light-b	Cultist	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-light-b-node-t4-desert-03-s101009-mountain
102	A	breadth-t4-conduit-light-b	Kilnmaster	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-light-b-node-t4-desert-03-s101009-mountain
103	A	breadth-t4-slinger-light-b	Desperado	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-light-b-node-t4-desert-03-s101009-mountain
104	A	breadth-t4-spirit-light-b	Surge	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-light-b-node-t4-desert-03-s101009-mountain
105	A	breadth-t4-striker-light-c	Swiftblade	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-light-c-node-t4-desert-03-s101009-mountain
106	A	breadth-t4-squire-light-c	Sunderer	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-light-c-node-t4-desert-03-s101009-mountain
107	A	breadth-t4-apprentice-light-c	Zealot	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-light-c-node-t4-desert-03-s101009-mountain
108	A	breadth-t4-conduit-light-c	Iconoclast	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-light-c-node-t4-desert-03-s101009-mountain
109	A	breadth-t4-slinger-light-c	Sniper	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-light-c-node-t4-desert-03-s101009-mountain
110	A	breadth-t4-spirit-light-c	Channeler	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-light-c-node-t4-desert-03-s101009-mountain
111	A	breadth-t3-striker-balanced	Skirmisher	close	node-t3-tundra-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-striker-balanced-node-t3-tundra-03-s101009-volcanic
112	B	breadth-t3-striker-balanced	Skirmisher	close	node-t3-tundra-03	101009	mountain-static	33	5	endurance-01-breadth-t3-striker-balanced-node-t3-tundra-03-s101009-mountain
113	A	breadth-t3-squire-balanced	Knight	close	node-t3-tundra-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-squire-balanced-node-t3-tundra-03-s101009-volcanic
114	B	breadth-t3-squire-balanced	Knight	close	node-t3-tundra-03	101009	mountain-static	33	5	endurance-01-breadth-t3-squire-balanced-node-t3-tundra-03-s101009-mountain
115	A	breadth-t3-apprentice-balanced	Ember mage	mid	node-t3-tundra-03	101009	volcanic-static	36	2	endurance-01-breadth-t3-apprentice-balanced-node-t3-tundra-03-s101009-volcanic
116	B	breadth-t3-apprentice-balanced	Ember mage	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-apprentice-balanced-node-t3-tundra-03-s101009-mountain
117	A	breadth-t3-conduit-balanced	Consort	mid	node-t3-tundra-03	101009	mountain-static	33	5	endurance-01-breadth-t3-conduit-balanced-node-t3-tundra-03-s101009-mountain
118	A	breadth-t3-slinger-balanced	Marksman	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-slinger-balanced-node-t3-tundra-03-s101009-mountain
119	A	breadth-t3-spirit-balanced	Wraith	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-spirit-balanced-node-t3-tundra-03-s101009-mountain
120	A	breadth-t4-striker-balanced-a	Maestro	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-balanced-a-node-t4-desert-03-s101009-mountain
121	A	breadth-t4-squire-balanced-a	Reverb	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-balanced-a-node-t4-desert-03-s101009-mountain
122	A	breadth-t4-apprentice-balanced-a	Pyromancer	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-balanced-a-node-t4-desert-03-s101009-mountain
123	A	breadth-t4-conduit-balanced-a	Marshal	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-balanced-a-node-t4-desert-03-s101009-mountain
124	A	breadth-t4-slinger-balanced-a	Bounty hunter	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-balanced-a-node-t4-desert-03-s101009-mountain
125	A	breadth-t4-spirit-balanced-a	Equinox	mid	node-t4-desert-03	101009	volcanic-static	43	4	endurance-01-breadth-t4-spirit-balanced-a-node-t4-desert-03-s101009-volcanic
126	B	breadth-t4-spirit-balanced-a	Equinox	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-a-node-t4-desert-03-s101009-mountain
127	A	breadth-t4-striker-balanced-b	Wavecrest	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-balanced-b-node-t4-desert-03-s101009-mountain
128	A	breadth-t4-squire-balanced-b	Dynamo	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-balanced-b-node-t4-desert-03-s101009-mountain
129	A	breadth-t4-apprentice-balanced-b	Firebrand	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-balanced-b-node-t4-desert-03-s101009-mountain
130	A	breadth-t4-conduit-balanced-b	Chorister	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-balanced-b-node-t4-desert-03-s101009-mountain
131	A	breadth-t4-slinger-balanced-b	Blunderbuss	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-slinger-balanced-b-node-t4-desert-03-s101009-mountain
132	A	breadth-t4-spirit-balanced-b	Stormbringer	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-b-node-t4-desert-03-s101009-mountain
133	A	breadth-t4-striker-balanced-c	Justicar	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-balanced-c-node-t4-desert-03-s101009-mountain
134	A	breadth-t4-squire-balanced-c	Stalwart	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-balanced-c-node-t4-desert-03-s101009-mountain
135	A	breadth-t4-apprentice-balanced-c	Cinder Lord	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-balanced-c-node-t4-desert-03-s101009-mountain
136	A	breadth-t4-conduit-balanced-c	Ritualist	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-conduit-balanced-c-node-t4-desert-03-s101009-mountain
137	A	breadth-t4-slinger-balanced-c	Dualslinger	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-slinger-balanced-c-node-t4-desert-03-s101009-mountain
138	A	breadth-t4-spirit-balanced-c	Aetherist	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-c-node-t4-desert-03-s101009-mountain
139	A	breadth-t3-striker-heavy	Breaker	close	node-t3-tundra-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-striker-heavy-node-t3-tundra-03-s101009-volcanic
140	B	breadth-t3-striker-heavy	Breaker	close	node-t3-tundra-03	101009	mountain-static	33	5	endurance-01-breadth-t3-striker-heavy-node-t3-tundra-03-s101009-mountain
141	A	breadth-t3-squire-heavy	Bulwark	close	node-t3-tundra-03	101009	mountain-static	33	5	endurance-01-breadth-t3-squire-heavy-node-t3-tundra-03-s101009-mountain
142	A	breadth-t3-apprentice-heavy	Rime-Bound	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-apprentice-heavy-node-t3-tundra-03-s101009-mountain
143	A	breadth-t3-conduit-heavy	Effigy	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-conduit-heavy-node-t3-tundra-03-s101009-mountain
144	A	breadth-t3-slinger-heavy	Artillerist	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-slinger-heavy-node-t3-tundra-03-s101009-mountain
145	A	breadth-t3-spirit-heavy	Phantasm	mid	node-t3-tundra-03	101009	mountain-static	36	2	endurance-01-breadth-t3-spirit-heavy-node-t3-tundra-03-s101009-mountain
146	A	breadth-t4-striker-heavy-a	Berserker	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101009-mountain
147	A	breadth-t4-squire-heavy-a	Avenger	close	node-t4-desert-03	101009	volcanic-static	40	7	endurance-01-breadth-t4-squire-heavy-a-node-t4-desert-03-s101009-volcanic
148	B	breadth-t4-squire-heavy-a	Avenger	close	node-t4-desert-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-heavy-a-node-t4-desert-03-s101009-mountain
149	A	breadth-t4-apprentice-heavy-a	Icebreaker	mid	node-t4-desert-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-heavy-a-node-t4-desert-03-s101009-mountain
