order	allocation	pathId	path	context	seed	capMs	observationId
112	primary	reload-light-t3-b	Desperado	V	101009	1200000	closing-slinger-light-b-V-s101009
113	primary	summoner-balanced-t3-b	Chorister	D	101009	1200000	closing-conduit-balanced-b-D-s101009
114	primary	energy-heavy-t3-b	Invoker	V	101009	1200000	closing-spirit-heavy-b-V-s101009
115	primary	cadence-balanced-t3-a	Maestro	M	101009	300000	closing-striker-balanced-a-M-s101009
116	primary	cooldown-heavy-t3-a	Avenger	T	101009	1200000	closing-squire-heavy-a-T-s101009
117	primary	dot-light-t3-b	Cultist	M	101009	300000	closing-apprentice-light-b-M-s101009
118	primary	reload-balanced-t3-b	Blunderbuss	T	101009	1200000	closing-slinger-balanced-b-T-s101009
119	primary	summoner-heavy-t3-b	Champion	M	101009	300000	closing-conduit-heavy-b-M-s101009
120	primary	energy-light-t3-c	Channeler	T	101009	1200000	closing-spirit-light-c-T-s101009
121	primary	cadence-heavy-t3-a	Berserker	V	101009	1200000	closing-striker-heavy-a-V-s101009
122	primary	cooldown-light-t3-b	Transcendant	D	101009	1200000	closing-squire-light-b-D-s101009
123	primary	dot-balanced-t3-b	Firebrand	V	101009	1200000	closing-apprentice-balanced-b-V-s101009
124	primary	reload-heavy-t3-b	Warmonger	D	101009	1200000	closing-slinger-heavy-b-D-s101009
125	primary	summoner-light-t3-c	Iconoclast	V	101009	1200000	closing-conduit-light-c-V-s101009
126	primary	energy-balanced-t3-c	Aetherist	D	101009	1200000	closing-spirit-balanced-c-D-s101009
127	primary	cadence-light-t3-b	Scrapper	T	101009	1200000	closing-striker-light-b-T-s101009
128	primary	cooldown-balanced-t3-b	Dynamo	M	101009	300000	closing-squire-balanced-b-M-s101009
129	primary	dot-heavy-t3-b	Winter Warden	T	101009	1200000	closing-apprentice-heavy-b-T-s101009
130	primary	reload-light-t3-c	Sniper	M	101009	300000	closing-slinger-light-c-M-s101009
131	primary	summoner-balanced-t3-c	Ritualist	T	101009	1200000	closing-conduit-balanced-c-T-s101009
132	primary	energy-heavy-t3-c	Tempest	M	101009	300000	closing-spirit-heavy-c-M-s101009
133	primary	cadence-balanced-t3-b	Wavecrest	D	101009	1200000	closing-striker-balanced-b-D-s101009
134	primary	cooldown-heavy-t3-b	Destroyer	V	101009	1200000	closing-squire-heavy-b-V-s101009
135	primary	dot-light-t3-c	Zealot	D	101009	1200000	closing-apprentice-light-c-D-s101009
136	primary	reload-balanced-t3-c	Dualslinger	V	101009	1200000	closing-slinger-balanced-c-V-s101009
137	primary	summoner-heavy-t3-c	Idolwright	D	101009	1200000	closing-conduit-heavy-c-D-s101009
138	primary	energy-light-t3-a	Stormdancer	M	101009	300000	closing-spirit-light-a-M-s101009
139	primary	cadence-heavy-t3-b	Hemomancer	M	101009	300000	closing-striker-heavy-b-M-s101009
140	primary	cooldown-light-t3-c	Sunderer	T	101009	1200000	closing-squire-light-c-T-s101009
141	primary	dot-balanced-t3-c	Cinder Lord	M	101009	300000	closing-apprentice-balanced-c-M-s101009
142	primary	reload-heavy-t3-c	Cannoneer	T	101009	1200000	closing-slinger-heavy-c-T-s101009
143	primary	summoner-light-t3-a	Inquisitor	D	101009	1200000	closing-conduit-light-a-D-s101009
144	primary	energy-balanced-t3-a	Equinox	V	101009	1200000	closing-spirit-balanced-a-V-s101009
145	primary	cadence-light-t3-c	Swiftblade	V	101009	1200000	closing-striker-light-c-V-s101009
146	primary	cooldown-balanced-t3-c	Stalwart	D	101009	1200000	closing-squire-balanced-c-D-s101009
147	primary	dot-heavy-t3-c	Wind Spirit	V	101009	1200000	closing-apprentice-heavy-c-V-s101009
148	primary	reload-light-t3-a	Duelist	T	101009	1200000	closing-slinger-light-a-T-s101009
149	primary	summoner-balanced-t3-a	Marshal	M	101009	300000	closing-conduit-balanced-a-M-s101009
150	primary	energy-heavy-t3-a	Voidwalker	T	101009	1200000	closing-spirit-heavy-a-T-s101009
151	primary	cadence-balanced-t3-c	Justicar	T	101009	1200000	closing-striker-balanced-c-T-s101009
152	primary	cooldown-heavy-t3-c	Devout Priest	M	101009	300000	closing-squire-heavy-c-M-s101009
153	primary	dot-light-t3-a	Venomslinger	V	101009	1200000	closing-apprentice-light-a-V-s101009
154	primary	reload-balanced-t3-a	Bounty hunter	D	101009	1200000	closing-slinger-balanced-a-D-s101009
155	primary	summoner-heavy-t3-a	Covenanter	V	101009	1200000	closing-conduit-heavy-a-V-s101009
156	primary	energy-light-t3-b	Surge	D	101009	1200000	closing-spirit-light-b-D-s101009
157	primary	cadence-heavy-t3-c	Juggernaut	D	101009	1200000	closing-striker-heavy-c-D-s101009
158	primary	cooldown-light-t3-a	Assassin	M	101009	300000	closing-squire-light-a-M-s101009
159	primary	dot-balanced-t3-a	Pyromancer	T	101009	1200000	closing-apprentice-balanced-a-T-s101009
160	primary	reload-heavy-t3-a	Melter	M	101009	300000	closing-slinger-heavy-a-M-s101009
161	primary	summoner-light-t3-b	Kilnmaster	T	101009	1200000	closing-conduit-light-b-T-s101009
162	primary	energy-balanced-t3-b	Stormbringer	M	101009	300000	closing-spirit-balanced-b-M-s101009
163	primary	cadence-light-t3-a	Shockblade	M	101009	300000	closing-striker-light-a-M-s101009
164	primary	cooldown-balanced-t3-a	Reverb	T	101009	1200000	closing-squire-balanced-a-T-s101009
165	primary	dot-heavy-t3-a	Icebreaker	M	101009	300000	closing-apprentice-heavy-a-M-s101009
166	primary	reload-light-t3-b	Desperado	T	101009	1200000	closing-slinger-light-b-T-s101009
167	primary	summoner-balanced-t3-b	Chorister	M	101009	300000	closing-conduit-balanced-b-M-s101009
168	primary	energy-heavy-t3-b	Invoker	T	101009	1200000	closing-spirit-heavy-b-T-s101009
169	primary	cadence-balanced-t3-a	Maestro	V	101009	1200000	closing-striker-balanced-a-V-s101009
170	primary	cooldown-heavy-t3-a	Avenger	D	101009	1200000	closing-squire-heavy-a-D-s101009
171	primary	dot-light-t3-b	Cultist	V	101009	1200000	closing-apprentice-light-b-V-s101009
172	primary	reload-balanced-t3-b	Blunderbuss	D	101009	1200000	closing-slinger-balanced-b-D-s101009
173	primary	summoner-heavy-t3-b	Champion	V	101009	1200000	closing-conduit-heavy-b-V-s101009
174	primary	energy-light-t3-c	Channeler	D	101009	1200000	closing-spirit-light-c-D-s101009
175	primary	cadence-heavy-t3-a	Berserker	T	101009	1200000	closing-striker-heavy-a-T-s101009
176	primary	cooldown-light-t3-b	Transcendant	M	101009	300000	closing-squire-light-b-M-s101009
177	primary	dot-balanced-t3-b	Firebrand	T	101009	1200000	closing-apprentice-balanced-b-T-s101009
178	primary	reload-heavy-t3-b	Warmonger	M	101009	300000	closing-slinger-heavy-b-M-s101009
179	primary	summoner-light-t3-c	Iconoclast	T	101009	1200000	closing-conduit-light-c-T-s101009
180	primary	energy-balanced-t3-c	Aetherist	M	101009	300000	closing-spirit-balanced-c-M-s101009
181	primary	cadence-light-t3-b	Scrapper	D	101009	1200000	closing-striker-light-b-D-s101009
182	primary	cooldown-balanced-t3-b	Dynamo	V	101009	1200000	closing-squire-balanced-b-V-s101009
183	primary	dot-heavy-t3-b	Winter Warden	D	101009	1200000	closing-apprentice-heavy-b-D-s101009
184	primary	reload-light-t3-c	Sniper	V	101009	1200000	closing-slinger-light-c-V-s101009
185	primary	summoner-balanced-t3-c	Ritualist	D	101009	1200000	closing-conduit-balanced-c-D-s101009
186	primary	energy-heavy-t3-c	Tempest	V	101009	1200000	closing-spirit-heavy-c-V-s101009
187	primary	cadence-balanced-t3-b	Wavecrest	M	101009	300000	closing-striker-balanced-b-M-s101009
188	primary	cooldown-heavy-t3-b	Destroyer	T	101009	1200000	closing-squire-heavy-b-T-s101009
189	primary	dot-light-t3-c	Zealot	M	101009	300000	closing-apprentice-light-c-M-s101009
190	primary	reload-balanced-t3-c	Dualslinger	T	101009	1200000	closing-slinger-balanced-c-T-s101009
191	primary	summoner-heavy-t3-c	Idolwright	M	101009	300000	closing-conduit-heavy-c-M-s101009
192	primary	energy-light-t3-a	Stormdancer	V	101009	1200000	closing-spirit-light-a-V-s101009
193	primary	cadence-heavy-t3-b	Hemomancer	V	101009	1200000	closing-striker-heavy-b-V-s101009
194	primary	cooldown-light-t3-c	Sunderer	D	101009	1200000	closing-squire-light-c-D-s101009
195	primary	dot-balanced-t3-c	Cinder Lord	V	101009	1200000	closing-apprentice-balanced-c-V-s101009
196	primary	reload-heavy-t3-c	Cannoneer	D	101009	1200000	closing-slinger-heavy-c-D-s101009
197	primary	summoner-light-t3-a	Inquisitor	M	101009	300000	closing-conduit-light-a-M-s101009
198	primary	energy-balanced-t3-a	Equinox	T	101009	1200000	closing-spirit-balanced-a-T-s101009
199	primary	cadence-light-t3-c	Swiftblade	T	101009	1200000	closing-striker-light-c-T-s101009
200	primary	cooldown-balanced-t3-c	Stalwart	M	101009	300000	closing-squire-balanced-c-M-s101009
201	primary	dot-heavy-t3-c	Wind Spirit	T	101009	1200000	closing-apprentice-heavy-c-T-s101009
202	primary	reload-light-t3-a	Duelist	D	101009	1200000	closing-slinger-light-a-D-s101009
203	primary	summoner-balanced-t3-a	Marshal	V	101009	1200000	closing-conduit-balanced-a-V-s101009
204	primary	energy-heavy-t3-a	Voidwalker	D	101009	1200000	closing-spirit-heavy-a-D-s101009
205	primary	cadence-balanced-t3-c	Justicar	D	101009	1200000	closing-striker-balanced-c-D-s101009
206	primary	cooldown-heavy-t3-c	Devout Priest	V	101009	1200000	closing-squire-heavy-c-V-s101009
207	primary	dot-light-t3-a	Venomslinger	T	101009	1200000	closing-apprentice-light-a-T-s101009
208	primary	reload-balanced-t3-a	Bounty hunter	M	101009	300000	closing-slinger-balanced-a-M-s101009
209	primary	summoner-heavy-t3-a	Covenanter	T	101009	1200000	closing-conduit-heavy-a-T-s101009
210	primary	energy-light-t3-b	Surge	M	101009	300000	closing-spirit-light-b-M-s101009
211	primary	cadence-heavy-t3-c	Juggernaut	M	101009	300000	closing-striker-heavy-c-M-s101009
212	primary	cooldown-light-t3-a	Assassin	V	101009	1200000	closing-squire-light-a-V-s101009
213	primary	dot-balanced-t3-a	Pyromancer	D	101009	1200000	closing-apprentice-balanced-a-D-s101009
214	primary	reload-heavy-t3-a	Melter	V	101009	1200000	closing-slinger-heavy-a-V-s101009
215	primary	summoner-light-t3-b	Kilnmaster	D	101009	1200000	closing-conduit-light-b-D-s101009
216	primary	energy-balanced-t3-b	Stormbringer	V	101009	1200000	closing-spirit-balanced-b-V-s101009
217	primary	cadence-light-t3-a	Shockblade	V	101033	1200000	closing-striker-light-a-V-s101033
218	primary	cooldown-balanced-t3-a	Reverb	D	101033	1200000	closing-squire-balanced-a-D-s101033
219	primary	dot-heavy-t3-a	Icebreaker	V	101033	1200000	closing-apprentice-heavy-a-V-s101033
220	primary	reload-light-t3-b	Desperado	D	101033	1200000	closing-slinger-light-b-D-s101033
221	primary	summoner-balanced-t3-b	Chorister	V	101033	1200000	closing-conduit-balanced-b-V-s101033
222	primary	energy-heavy-t3-b	Invoker	D	101033	1200000	closing-spirit-heavy-b-D-s101033
223	primary	cadence-balanced-t3-a	Maestro	T	101033	1200000	closing-striker-balanced-a-T-s101033
224	primary	cooldown-heavy-t3-a	Avenger	M	101033	300000	closing-squire-heavy-a-M-s101033
225	primary	dot-light-t3-b	Cultist	T	101033	1200000	closing-apprentice-light-b-T-s101033
226	primary	reload-balanced-t3-b	Blunderbuss	M	101033	300000	closing-slinger-balanced-b-M-s101033
227	primary	summoner-heavy-t3-b	Champion	T	101033	1200000	closing-conduit-heavy-b-T-s101033
228	primary	energy-light-t3-c	Channeler	M	101033	300000	closing-spirit-light-c-M-s101033
229	primary	cadence-heavy-t3-a	Berserker	D	101033	1200000	closing-striker-heavy-a-D-s101033
230	primary	cooldown-light-t3-b	Transcendant	V	101033	1200000	closing-squire-light-b-V-s101033
231	primary	dot-balanced-t3-b	Firebrand	D	101033	1200000	closing-apprentice-balanced-b-D-s101033
232	primary	reload-heavy-t3-b	Warmonger	V	101033	1200000	closing-slinger-heavy-b-V-s101033
233	primary	summoner-light-t3-c	Iconoclast	D	101033	1200000	closing-conduit-light-c-D-s101033
234	primary	energy-balanced-t3-c	Aetherist	V	101033	1200000	closing-spirit-balanced-c-V-s101033
235	primary	cadence-light-t3-b	Scrapper	M	101033	300000	closing-striker-light-b-M-s101033
236	primary	cooldown-balanced-t3-b	Dynamo	T	101033	1200000	closing-squire-balanced-b-T-s101033
237	primary	dot-heavy-t3-b	Winter Warden	M	101033	300000	closing-apprentice-heavy-b-M-s101033
238	primary	reload-light-t3-c	Sniper	T	101033	1200000	closing-slinger-light-c-T-s101033
239	primary	summoner-balanced-t3-c	Ritualist	M	101033	300000	closing-conduit-balanced-c-M-s101033
240	primary	energy-heavy-t3-c	Tempest	T	101033	1200000	closing-spirit-heavy-c-T-s101033
241	primary	cadence-balanced-t3-b	Wavecrest	V	101033	1200000	closing-striker-balanced-b-V-s101033
242	primary	cooldown-heavy-t3-b	Destroyer	D	101033	1200000	closing-squire-heavy-b-D-s101033
243	primary	dot-light-t3-c	Zealot	V	101033	1200000	closing-apprentice-light-c-V-s101033
244	primary	reload-balanced-t3-c	Dualslinger	D	101033	1200000	closing-slinger-balanced-c-D-s101033
245	primary	summoner-heavy-t3-c	Idolwright	V	101033	1200000	closing-conduit-heavy-c-V-s101033
246	primary	energy-light-t3-a	Stormdancer	T	101033	1200000	closing-spirit-light-a-T-s101033
247	primary	cadence-heavy-t3-b	Hemomancer	T	101033	1200000	closing-striker-heavy-b-T-s101033
248	primary	cooldown-light-t3-c	Sunderer	M	101033	300000	closing-squire-light-c-M-s101033
249	primary	dot-balanced-t3-c	Cinder Lord	T	101033	1200000	closing-apprentice-balanced-c-T-s101033
250	primary	reload-heavy-t3-c	Cannoneer	M	101033	300000	closing-slinger-heavy-c-M-s101033
251	primary	summoner-light-t3-a	Inquisitor	V	101033	1200000	closing-conduit-light-a-V-s101033
252	primary	energy-balanced-t3-a	Equinox	D	101033	1200000	closing-spirit-balanced-a-D-s101033
253	primary	cadence-light-t3-c	Swiftblade	D	101033	1200000	closing-striker-light-c-D-s101033
254	primary	cooldown-balanced-t3-c	Stalwart	V	101033	1200000	closing-squire-balanced-c-V-s101033
255	primary	dot-heavy-t3-c	Wind Spirit	D	101033	1200000	closing-apprentice-heavy-c-D-s101033
256	primary	reload-light-t3-a	Duelist	M	101033	300000	closing-slinger-light-a-M-s101033
257	primary	summoner-balanced-t3-a	Marshal	T	101033	1200000	closing-conduit-balanced-a-T-s101033
258	primary	energy-heavy-t3-a	Voidwalker	M	101033	300000	closing-spirit-heavy-a-M-s101033
259	primary	cadence-balanced-t3-c	Justicar	M	101033	300000	closing-striker-balanced-c-M-s101033
260	primary	cooldown-heavy-t3-c	Devout Priest	T	101033	1200000	closing-squire-heavy-c-T-s101033
261	primary	dot-light-t3-a	Venomslinger	D	101033	1200000	closing-apprentice-light-a-D-s101033
262	primary	reload-balanced-t3-a	Bounty hunter	V	101033	1200000	closing-slinger-balanced-a-V-s101033
263	primary	summoner-heavy-t3-a	Covenanter	D	101033	1200000	closing-conduit-heavy-a-D-s101033
264	primary	energy-light-t3-b	Surge	V	101033	1200000	closing-spirit-light-b-V-s101033
265	primary	cadence-heavy-t3-c	Juggernaut	V	101033	1200000	closing-striker-heavy-c-V-s101033
266	primary	cooldown-light-t3-a	Assassin	T	101033	1200000	closing-squire-light-a-T-s101033
267	primary	dot-balanced-t3-a	Pyromancer	M	101033	300000	closing-apprentice-balanced-a-M-s101033
268	primary	reload-heavy-t3-a	Melter	T	101033	1200000	closing-slinger-heavy-a-T-s101033
269	primary	summoner-light-t3-b	Kilnmaster	M	101033	300000	closing-conduit-light-b-M-s101033
270	primary	energy-balanced-t3-b	Stormbringer	T	101033	1200000	closing-spirit-balanced-b-T-s101033
271	primary	cadence-light-t3-a	Shockblade	T	101033	1200000	closing-striker-light-a-T-s101033
272	primary	cooldown-balanced-t3-a	Reverb	M	101033	300000	closing-squire-balanced-a-M-s101033
273	primary	dot-heavy-t3-a	Icebreaker	T	101033	1200000	closing-apprentice-heavy-a-T-s101033
274	primary	reload-light-t3-b	Desperado	M	101033	300000	closing-slinger-light-b-M-s101033
275	primary	summoner-balanced-t3-b	Chorister	T	101033	1200000	closing-conduit-balanced-b-T-s101033
276	primary	energy-heavy-t3-b	Invoker	M	101033	300000	closing-spirit-heavy-b-M-s101033
277	primary	cadence-balanced-t3-a	Maestro	D	101033	1200000	closing-striker-balanced-a-D-s101033
278	primary	cooldown-heavy-t3-a	Avenger	V	101033	1200000	closing-squire-heavy-a-V-s101033
279	primary	dot-light-t3-b	Cultist	D	101033	1200000	closing-apprentice-light-b-D-s101033
