id	tier	slot	biome	masteryGate	bossGate	predecessor	authoredStats	upgradeReadbacks
forest-vest-t1	1	armor	forest	2			{"maxHp":28,"plating":3,"evasion":0.16}	[{"plus":0,"authoredStats":{"maxHp":28,"plating":3,"evasion":0.16},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":28,"plating":3,"evasion":0.16},"upgradeStats":{"maxHp":9,"evasion":0.03,"plating":1},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":28,"plating":3,"evasion":0.16},"upgradeStats":{"maxHp":12,"evasion":0.04,"plating":2},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":28,"plating":3,"evasion":0.16},"upgradeStats":{"maxHp":15,"evasion":0.06,"plating":2},"mechanics":{},"aps":0}]
forest-charm-t1	1	recovery	forest	3			{"recovery":3}	[{"plus":0,"authoredStats":{"recovery":3},"upgradeStats":{},"mechanics":{"defense.recovery-skill-potency":0.1},"aps":0},{"plus":3,"authoredStats":{"recovery":3},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-skill-potency":0.13},"aps":0},{"plus":4,"authoredStats":{"recovery":3},"upgradeStats":{"recovery":2},"mechanics":{"defense.recovery-skill-potency":0.14},"aps":0},{"plus":5,"authoredStats":{"recovery":3},"upgradeStats":{"recovery":2},"mechanics":{"defense.recovery-skill-potency":0.15000000000000002},"aps":0}]
forest-boots-t1	1	mobility	forest	4			{"speed":22}	[{"plus":0,"authoredStats":{"speed":22},"upgradeStats":{},"mechanics":{"mobility.ooc-speed-pct":0.25},"aps":0},{"plus":3,"authoredStats":{"speed":22},"upgradeStats":{"speed":6},"mechanics":{"mobility.ooc-speed-pct":0.4},"aps":0},{"plus":4,"authoredStats":{"speed":22},"upgradeStats":{"speed":8},"mechanics":{"mobility.ooc-speed-pct":0.45},"aps":0},{"plus":5,"authoredStats":{"speed":22},"upgradeStats":{"speed":10},"mechanics":{"mobility.ooc-speed-pct":0.5},"aps":0}]
gale-needle	2	weapon	forest	7		flash-rapier	{"attack":9}	[{"plus":0,"authoredStats":{"attack":9},"upgradeStats":{},"mechanics":{},"aps":1.6},{"plus":3,"authoredStats":{"attack":9},"upgradeStats":{"attack":1},"mechanics":{},"aps":1.6600000000000001},{"plus":4,"authoredStats":{"attack":9},"upgradeStats":{"attack":3},"mechanics":{},"aps":1.6800000000000002},{"plus":5,"authoredStats":{"attack":9},"upgradeStats":{"attack":5},"mechanics":{},"aps":1.7000000000000002}]
thorn-needle	2	weapon	forest	7		flash-rapier	{"attack":5,"onHitDamage":4}	[{"plus":0,"authoredStats":{"attack":5,"onHitDamage":4},"upgradeStats":{},"mechanics":{},"aps":1.5},{"plus":3,"authoredStats":{"attack":5,"onHitDamage":4},"upgradeStats":{"onHitDamage":2,"attack":1},"mechanics":{},"aps":1.5},{"plus":4,"authoredStats":{"attack":5,"onHitDamage":4},"upgradeStats":{"onHitDamage":2,"attack":2},"mechanics":{},"aps":1.5},{"plus":5,"authoredStats":{"attack":5,"onHitDamage":4},"upgradeStats":{"onHitDamage":3,"attack":3},"mechanics":{},"aps":1.5}]
forest-vest-t2	2	armor	forest	8		forest-vest-t1	{"maxHp":50,"plating":5,"evasion":0.24}	[{"plus":0,"authoredStats":{"maxHp":50,"plating":5,"evasion":0.24},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":50,"plating":5,"evasion":0.24},"upgradeStats":{"maxHp":15,"evasion":0.03,"plating":1},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":50,"plating":5,"evasion":0.24},"upgradeStats":{"maxHp":20,"evasion":0.04,"plating":2},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":50,"plating":5,"evasion":0.24},"upgradeStats":{"maxHp":25,"evasion":0.06,"plating":2},"mechanics":{},"aps":0}]
forest-charm-t2	2	recovery	forest	9		forest-charm-t1	{"recovery":5}	[{"plus":0,"authoredStats":{"recovery":5},"upgradeStats":{},"mechanics":{"defense.recovery-skill-potency":0.18},"aps":0},{"plus":3,"authoredStats":{"recovery":5},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-skill-potency":0.21},"aps":0},{"plus":4,"authoredStats":{"recovery":5},"upgradeStats":{"recovery":2},"mechanics":{"defense.recovery-skill-potency":0.22},"aps":0},{"plus":5,"authoredStats":{"recovery":5},"upgradeStats":{"recovery":3},"mechanics":{"defense.recovery-skill-potency":0.22999999999999998},"aps":0}]
forest-boots-t2	2	mobility	forest	10		forest-boots-t1	{"speed":40}	[{"plus":0,"authoredStats":{"speed":40},"upgradeStats":{},"mechanics":{"mobility.ooc-speed-pct":0.55},"aps":0},{"plus":3,"authoredStats":{"speed":40},"upgradeStats":{"speed":6},"mechanics":{"mobility.ooc-speed-pct":0.7000000000000001},"aps":0},{"plus":4,"authoredStats":{"speed":40},"upgradeStats":{"speed":9},"mechanics":{"mobility.ooc-speed-pct":0.75},"aps":0},{"plus":5,"authoredStats":{"speed":40},"upgradeStats":{"speed":11},"mechanics":{"mobility.ooc-speed-pct":0.8},"aps":0}]
jungle-stinger-rapier	2	weapon	jungle	1			{"attack":10,"onHitDamage":8}	[{"plus":0,"authoredStats":{"attack":10,"onHitDamage":8},"upgradeStats":{},"mechanics":{},"aps":1.55},{"plus":3,"authoredStats":{"attack":10,"onHitDamage":8},"upgradeStats":{"attack":12,"onHitDamage":9},"mechanics":{},"aps":1.55},{"plus":4,"authoredStats":{"attack":10,"onHitDamage":8},"upgradeStats":{"attack":16,"onHitDamage":12},"mechanics":{},"aps":1.55},{"plus":5,"authoredStats":{"attack":10,"onHitDamage":8},"upgradeStats":{"attack":20,"onHitDamage":15},"mechanics":{},"aps":1.55}]
jungle-vest-t2	2	armor	jungle	2			{"maxHp":44,"plating":6,"evasion":0.15}	[{"plus":0,"authoredStats":{"maxHp":44,"plating":6,"evasion":0.15},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":44,"plating":6,"evasion":0.15},"upgradeStats":{"maxHp":36,"plating":6,"evasion":0.12},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":44,"plating":6,"evasion":0.15},"upgradeStats":{"maxHp":48,"plating":8,"evasion":0.16},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":44,"plating":6,"evasion":0.15},"upgradeStats":{"maxHp":60,"plating":10,"evasion":0.2},"mechanics":{},"aps":0}]
jungle-charm-t2	2	recovery	jungle	3			{"recovery":6}	[{"plus":0,"authoredStats":{"recovery":6},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.1,"defense.recovery-ramp-ramptime-ms":10000},"aps":0},{"plus":3,"authoredStats":{"recovery":6},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.16,"defense.recovery-ramp-ramptime-ms":10000},"aps":0},{"plus":4,"authoredStats":{"recovery":6},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.18,"defense.recovery-ramp-ramptime-ms":10000},"aps":0},{"plus":5,"authoredStats":{"recovery":6},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.2,"defense.recovery-ramp-ramptime-ms":10000},"aps":0}]
jungle-boots-t2	2	mobility	jungle	4			{"speed":22}	[{"plus":0,"authoredStats":{"speed":22},"upgradeStats":{},"mechanics":{"mobility.aggro-pull-pct":0.5},"aps":0},{"plus":3,"authoredStats":{"speed":22},"upgradeStats":{"speed":21},"mechanics":{"mobility.aggro-pull-pct":0.5},"aps":0},{"plus":4,"authoredStats":{"speed":22},"upgradeStats":{"speed":30},"mechanics":{"mobility.aggro-pull-pct":0.5},"aps":0},{"plus":5,"authoredStats":{"speed":22},"upgradeStats":{"speed":39},"mechanics":{"mobility.aggro-pull-pct":0.5},"aps":0}]
jungle-venomthorn-rapier	3	weapon	jungle	7		jungle-stinger-rapier	{"attack":22,"onHitDamage":18}	[{"plus":0,"authoredStats":{"attack":22,"onHitDamage":18},"upgradeStats":{},"mechanics":{},"aps":1.65},{"plus":3,"authoredStats":{"attack":22,"onHitDamage":18},"upgradeStats":{"attack":12,"onHitDamage":12},"mechanics":{},"aps":1.65},{"plus":4,"authoredStats":{"attack":22,"onHitDamage":18},"upgradeStats":{"attack":16,"onHitDamage":16},"mechanics":{},"aps":1.65},{"plus":5,"authoredStats":{"attack":22,"onHitDamage":18},"upgradeStats":{"attack":20,"onHitDamage":20},"mechanics":{},"aps":1.65}]
jungle-vest-t3	3	armor	jungle	8		jungle-vest-t2	{"maxHp":80,"plating":13,"evasion":0.4}	[{"plus":0,"authoredStats":{"maxHp":80,"plating":13,"evasion":0.4},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":80,"plating":13,"evasion":0.4},"upgradeStats":{"maxHp":54,"plating":9,"evasion":0.15000000000000002},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":80,"plating":13,"evasion":0.4},"upgradeStats":{"maxHp":72,"plating":12,"evasion":0.2},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":80,"plating":13,"evasion":0.4},"upgradeStats":{"maxHp":90,"plating":15,"evasion":0.25},"mechanics":{},"aps":0}]
jungle-charm-t3	3	recovery	jungle	9		jungle-charm-t2	{"recovery":11}	[{"plus":0,"authoredStats":{"recovery":11},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.05,"defense.recovery-ramp-max-pct":0.14,"defense.recovery-ramp-ramptime-ms":10000},"aps":0},{"plus":3,"authoredStats":{"recovery":11},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.05,"defense.recovery-ramp-max-pct":0.2,"defense.recovery-ramp-ramptime-ms":10000},"aps":0},{"plus":4,"authoredStats":{"recovery":11},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.05,"defense.recovery-ramp-max-pct":0.22000000000000003,"defense.recovery-ramp-ramptime-ms":10000},"aps":0},{"plus":5,"authoredStats":{"recovery":11},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.05,"defense.recovery-ramp-max-pct":0.24000000000000002,"defense.recovery-ramp-ramptime-ms":10000},"aps":0}]
jungle-boots-t3	3	mobility	jungle	10		jungle-boots-t2	{"speed":44}	[{"plus":0,"authoredStats":{"speed":44},"upgradeStats":{},"mechanics":{"mobility.aggro-pull-pct":0.65},"aps":0},{"plus":3,"authoredStats":{"speed":44},"upgradeStats":{"speed":24},"mechanics":{"mobility.aggro-pull-pct":0.65},"aps":0},{"plus":4,"authoredStats":{"speed":44},"upgradeStats":{"speed":34},"mechanics":{"mobility.aggro-pull-pct":0.65},"aps":0},{"plus":5,"authoredStats":{"speed":44},"upgradeStats":{"speed":44},"mechanics":{"mobility.aggro-pull-pct":0.65},"aps":0}]
jungle-deathfang-rapier	4	weapon	jungle	13		jungle-venomthorn-rapier	{"attack":34,"onHitDamage":30}	[{"plus":0,"authoredStats":{"attack":34,"onHitDamage":30},"upgradeStats":{},"mechanics":{},"aps":1.75},{"plus":3,"authoredStats":{"attack":34,"onHitDamage":30},"upgradeStats":{"attack":30,"onHitDamage":24},"mechanics":{},"aps":1.75},{"plus":4,"authoredStats":{"attack":34,"onHitDamage":30},"upgradeStats":{"attack":40,"onHitDamage":32},"mechanics":{},"aps":1.75},{"plus":5,"authoredStats":{"attack":34,"onHitDamage":30},"upgradeStats":{"attack":50,"onHitDamage":40},"mechanics":{},"aps":1.75}]
jungle-vest-t4	4	armor	jungle	14		jungle-vest-t3	{"maxHp":145,"plating":24,"evasion":0.55}	[{"plus":0,"authoredStats":{"maxHp":145,"plating":24,"evasion":0.55},"upgradeStats":{},"mechanics":{"defense.evade-mitigation":0.2},"aps":0},{"plus":3,"authoredStats":{"maxHp":145,"plating":24,"evasion":0.55},"upgradeStats":{"maxHp":105,"plating":18,"evasion":0.09},"mechanics":{"defense.evade-mitigation":0.2},"aps":0},{"plus":4,"authoredStats":{"maxHp":145,"plating":24,"evasion":0.55},"upgradeStats":{"maxHp":140,"plating":24,"evasion":0.12},"mechanics":{"defense.evade-mitigation":0.2},"aps":0},{"plus":5,"authoredStats":{"maxHp":145,"plating":24,"evasion":0.55},"upgradeStats":{"maxHp":175,"plating":30,"evasion":0.15},"mechanics":{"defense.evade-mitigation":0.2},"aps":0}]
jungle-charm-t4	4	recovery	jungle	15		jungle-charm-t3	{"recovery":16}	[{"plus":0,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.14,"defense.recovery-ramp-ramptime-ms":9000},"aps":0},{"plus":3,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.2,"defense.recovery-ramp-ramptime-ms":9000},"aps":0},{"plus":4,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.22000000000000003,"defense.recovery-ramp-ramptime-ms":9000},"aps":0},{"plus":5,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.24000000000000002,"defense.recovery-ramp-ramptime-ms":9000},"aps":0}]
jungle-charm-t4-overgrowth	4	recovery	jungle	15		jungle-charm-t3	{"recovery":16}	[{"plus":0,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.12,"defense.recovery-ramp-ramptime-ms":9000,"defense.overheal-ward-pct":0.25},"aps":0},{"plus":3,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.18,"defense.recovery-ramp-ramptime-ms":9000,"defense.overheal-ward-pct":0.25},"aps":0},{"plus":4,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.2,"defense.recovery-ramp-ramptime-ms":9000,"defense.overheal-ward-pct":0.25},"aps":0},{"plus":5,"authoredStats":{"recovery":16},"upgradeStats":{},"mechanics":{"defense.recovery-ramp-start-pct":0.04,"defense.recovery-ramp-max-pct":0.22,"defense.recovery-ramp-ramptime-ms":9000,"defense.overheal-ward-pct":0.25},"aps":0}]
jungle-boots-t4	4	mobility	jungle	16		jungle-boots-t3	{"speed":66}	[{"plus":0,"authoredStats":{"speed":66},"upgradeStats":{},"mechanics":{"mobility.aggro-pull-pct":0.8},"aps":0},{"plus":3,"authoredStats":{"speed":66},"upgradeStats":{"speed":30},"mechanics":{"mobility.aggro-pull-pct":0.8},"aps":0},{"plus":4,"authoredStats":{"speed":66},"upgradeStats":{"speed":42},"mechanics":{"mobility.aggro-pull-pct":0.8},"aps":0},{"plus":5,"authoredStats":{"speed":66},"upgradeStats":{"speed":54},"mechanics":{"mobility.aggro-pull-pct":0.8},"aps":0}]
core-survivalist	2	core	jungle	6			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"core.recovery-mult":0.3,"core.maxhp-mult":0.15},"aps":0}]
core-bruiser	3	core	jungle	11			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"core.damage-dealt-pct":0.28,"core.maxhp-mult":0.2,"core.speed-mult":0.18,"core.mobility-refund-on-kill-pct":0.5},"aps":0}]
core-accelerant	3	core	jungle	12			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"core.attack-speed-mult":0.55,"core.damage-dealt-pct":-0.18},"aps":0}]
relic-verdant-flywheel	4	relic	jungle	18			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"relic.mechanic-frequency":0.2,"relic.mechanic-potency":-0.2,"relic.mechanic-buff-effect":0.25},"aps":0}]
heavy-hammer	1	weapon	mountain	1			{"attack":26}	[{"plus":0,"authoredStats":{"attack":26},"upgradeStats":{},"mechanics":{"weapon.empowered-mult-bonus":0.15},"aps":0.55},{"plus":3,"authoredStats":{"attack":26},"upgradeStats":{"attack":6},"mechanics":{"weapon.empowered-mult-bonus":0.18},"aps":0.55},{"plus":4,"authoredStats":{"attack":26},"upgradeStats":{"attack":8},"mechanics":{"weapon.empowered-mult-bonus":0.2},"aps":0.55},{"plus":5,"authoredStats":{"attack":26},"upgradeStats":{"attack":10},"mechanics":{"weapon.empowered-mult-bonus":0.22},"aps":0.55}]
mountain-vest-t1	1	armor	mountain	2			{"maxHp":32,"plating":5}	[{"plus":0,"authoredStats":{"maxHp":32,"plating":5},"upgradeStats":{},"mechanics":{"guard.potency-pct":0.15},"aps":0},{"plus":3,"authoredStats":{"maxHp":32,"plating":5},"upgradeStats":{"maxHp":12,"plating":1},"mechanics":{"guard.potency-pct":0.21},"aps":0},{"plus":4,"authoredStats":{"maxHp":32,"plating":5},"upgradeStats":{"maxHp":16,"plating":2},"mechanics":{"guard.potency-pct":0.22999999999999998},"aps":0},{"plus":5,"authoredStats":{"maxHp":32,"plating":5},"upgradeStats":{"maxHp":20,"plating":2},"mechanics":{"guard.potency-pct":0.25},"aps":0}]
mountain-charm-t1	1	recovery	mountain	3			{"recovery":1}	[{"plus":0,"authoredStats":{"recovery":1},"upgradeStats":{},"mechanics":{"defense.barrier-pct":0.12},"aps":0},{"plus":3,"authoredStats":{"recovery":1},"upgradeStats":{"recovery":1},"mechanics":{"defense.barrier-pct":0.15},"aps":0},{"plus":4,"authoredStats":{"recovery":1},"upgradeStats":{"recovery":1},"mechanics":{"defense.barrier-pct":0.16499999999999998},"aps":0},{"plus":5,"authoredStats":{"recovery":1},"upgradeStats":{"recovery":1},"mechanics":{"defense.barrier-pct":0.18},"aps":0}]
