order	family	id	identityId	arm	seed	fixture	range	stance	capMs	mode	sourceObservationId	measuredSource
29	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-mountain-control	breadth-t4-conduit-heavy-b	control	101021	node-t4-desert-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
30	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-mountain-candidate	breadth-t4-conduit-heavy-b	candidate	101021	node-t4-desert-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
31	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101021-mountain-control	breadth-t4-striker-heavy-c	control	101021	node-t4-desert-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101021-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
32	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101021-mountain-candidate	breadth-t4-striker-heavy-c	candidate	101021	node-t4-desert-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
33	A-control	day2-a-conduit-s101003-control	breadth-t3-conduit-balanced	control	101003	node-t3-tundra-03	mid	defensive-stance	300000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
34	A-control	day2-a-slinger-s101003-control	breadth-t3-slinger-balanced	control	101003	node-t3-tundra-03	mid	offensive-stance	300000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
35	A-control	day2-a-conduit-s101009-control	breadth-t3-conduit-balanced	control	101009	node-t3-tundra-03	mid	defensive-stance	300000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
36	A-control	day2-a-slinger-s101009-control	breadth-t3-slinger-balanced	control	101009	node-t3-tundra-03	mid	offensive-stance	300000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
37	A-candidate	day2-a-conduit-s101003-candidate	breadth-t3-conduit-balanced	candidate	101003	node-t3-tundra-03	mid	defensive-stance	300000	new		f021845bd18f43c032e8044a60af071868000e80
38	A-candidate	day2-a-slinger-s101003-candidate	breadth-t3-slinger-balanced	candidate	101003	node-t3-tundra-03	mid	offensive-stance	300000	new		f021845bd18f43c032e8044a60af071868000e80
39	A-candidate	day2-a-conduit-s101009-candidate	breadth-t3-conduit-balanced	candidate	101009	node-t3-tundra-03	mid	defensive-stance	300000	new		f021845bd18f43c032e8044a60af071868000e80
40	A-candidate	day2-a-slinger-s101009-candidate	breadth-t3-slinger-balanced	candidate	101009	node-t3-tundra-03	mid	offensive-stance	300000	new		f021845bd18f43c032e8044a60af071868000e80
